Full Address,H Status-flag,H Address,H House Number,H Street Name,H City,Address 2,Address 2 House Number,Address 2 Street Name,Address 2 City,new h address-flag,new h house number,new h street name,new h city,new h county,unidentified h info,new h street 1,new h street 2,new h street type,h house number modifier,new address2 house number,new address2 street name,new address2 street 1,new address2 street 2,new address2 street type,new address2 city,new address2 county,unidentified address2 info,address2 house number modifier
Myrtle c Jay h 115 Johnson,Assume,MYRTLE C JAY H 115 JOHNSON,,,MYRTLE C JAY H 115 JOHNSON,,,,,h in between,115,JOHNSON,,,H,,,,,,JAY,,,,,,MYRTLE C,
90 Fulton N Y h 163 Front,Assume,90 FULTON N Y H 163 FRONT,90,FULTON N Y H 163 FRONT,,,,,,h in between,163,FRONT,,,H,,,,,90,FULTON,,,,,,N Y,
Little Dock h 248 Marshall,Assume,LITTLE DOCK H 248 MARSHALL,,,LITTLE DOCK H 248 MARSHALL,,,,,h in between,248,MARSHALL,,,H,,,,,,LITTLE,,,,,,DOCK,
18 South N Y h Schermerhorn n Boerum,Assume,18 SOUTH N Y H SCHERMERHORN N BOERUM,18,SOUTH N Y H SCHERMERHORN N BOERUM,,,,,,h in between,,SCHERMERHORN,,,N BOERUM,,,,,,18,,,,,,SOUTH N Y,
171 Fulton h Myrtle n Classon av,Assume,171 FULTON H MYRTLE N CLASSON AV,171,FULTON H MYRTLE N CLASSON AV,,,,,,h in between,,,,,MYRTLE N CLASSON AV,,,,,171,FULTON,,,,,,,
merchant 116 WallN Y h 6 Joralemon,Assume,MERCHÃÂÂT 116 WALLN Y H 6 JORALEMON,116,WALLN Y H 6 JORALEMON,,,,,,h in between,6,JORALEMON,,,H,,,,,116,WALL,,,,,,MERCHÃÂÂT  N Y,
Water n Fulton h 106 Bridge,Assume,WATER N FULTON H 106 BRIDGE,,,WATER N FULTON H 106 BRIDGE,,,,,h in between,106,RIDGE,,,B,,,,,,FULTON,,,,,,WATER N,
h 67 Baltic,TRUE,H 67 BALTIC,67,BALTIC,,,,,,start with h,67,BALTIC,,,H,,,,,,,,,,,,,
N Y' h 67 Baltic,Assume,N Y' H 67 BALTIC,,,N Y' H 67 BALTIC,,,,,h in between,67,BALTIC,,,H,,,,,,,,,,,,N Y',
157 Cedar N Y h 67 Baltic,Assume,157 CEDAR N Y H 67 BALTIC,157,CEDAR N Y H 67 BALTIC,,,,,,h in between,67,BALTIC,,,H,,,,,157,CEDAR,,,,,,N Y,
N Y h 8 Willow place,Assume,N Y H 8 WILLOW PLACE,,,N Y H 8 WILLOW PLACE,,,,,h in between,8,WILLOW PL,,,ACE,,,,,,,,,,,,N Y,
Myrtle n Classon av h Classon n Flushing av,Assume,MYRTLE N CLASSON AV H CLASSON N FLUSHING AV,,,MYRTLE N CLASSON AV H CLASSON N FLUSHING AV,,,,,h in between,,,FLUSHING,,CLASSON N  AV,,,,,,,,,,,,MYRTLE N CLASSON AV,
N Y h 45 Willow,Assume,N Y H 45 WILLOW,,,N Y H 45 WILLOW,,,,,h in between,45,WILLOW,,,H,,,,,,,,,,,,N Y,
S Maiden Lane NY h 182 Atlantic,Assume,S MAIDEN LANE NY H 182 ATLANTIC,,,S MAIDEN LANE NY H 182 ATLANTIC,,,,,h in between,182,ATLANTIC,,,H,,,,,,MAIDEN LA,,,,NY,,S NE,
234 Fulton h 28 Everitt,Assume,234 FULTON H 28 EVERITT,234,FULTON H 28 EVERITT,,,,,,h in between,28,EVERITT,,,H,,,,,234,FULTON,,,,,,,
17 Park Place NY h Columbia n Hamilton av,Assume,17 PARK PLACE NY H COLUMBIA N HAMILTON AV,17,PARK PLACE NY H COLUMBIA N HAMILTON AV,,,,,,h in between,,COLUMBIA,,HAMILTON,N  AV,,,,,17,PARK PL,,,,NY,,ACE,
