Full Address,H Status-flag,H Address,H House Number,H Street Name,H City,Address 2,Address 2 House Number,Address 2 Street Name,Address 2 City,new h address-flag,new h house number,new h street name,new h city,new h county,unidentified h info,new h street 1,new h street 2,new h street type,h house number modifier,new address2 house number,new address2 street name,new address2 street 1,new address2 street 2,new address2 street type,new address2 city,new address2 county,unidentified address2 info,address2 house number modifier
"47 Broadway, h. 39 Pearl",TRUE,H. 39 PEARL,39,PEARL,,47 Broadway,47,Broadway,,start with h,39,PEARL,,,,,,,,,,,,,,,,
"20 Washington & 13 West, h. 170 Clinton , Brooklyn",TRUE,"H. 170 CLINTON , BROOKLYN",170,"CLINTON ,",BROOKLYN,20 Washington & 13 West,20,Washington & 13 West,,start with h,170,CLINTON,BROOKLYN,,",",,,,,,,,,,,,,
"13 Front, h. 77 Barrow",TRUE,H. 77 BARROW,77,BARROW,,13 Front,13,Front,,start with h,77,BARROW,,,,,,,,,,,,,,,,
h. 175 Canal,TRUE,H. 175 CANAL,175,CANAL,,,,,,start with h,175,CANAL,,,,,,,,,,,,,,,,
"413 B.way, h. Morrisania",TRUE,H. MORRISANIA,,,,413 B.way,413,B.way,,start with h,,,MORRISANIA,,,,,,,,,,,,,,,
"192 Fulton, h. 7 Murray",TRUE,H. 7 MURRAY,7,MURRAY,,192 Fulton,192,Fulton,,start with h,7,MURRAY,,,,,,,,,,,,,,,,
"50 Wall, h. 91 Henry , Brooklyn",TRUE,"H. 91 HENRY , BROOKLYN",91,"HENRY ,",BROOKLYN,50 Wall,50,Wall,,start with h,91,HENRY,BROOKLYN,,",",,,,,,,,,,,,,
"181 Broadway, h. Irving house",TRUE,H. IRVING HOUSE,,,IRVING HOUSE,181 Broadway,181,Broadway,,start with h,,IRVING HOUSE,,,,,,,,,,,,,,,,
"82 Nassau, h. Brooklyn",TRUE,H. BROOKLYN,,,,82 Nassau,82,Nassau,,start with h,,,BROOKLYN,,,,,,,,,,,,,,,
"43 Fulton, h. 22 Vesey",TRUE,H. 22 VESEY,22,VESEY,,43 Fulton,43,Fulton,,start with h,22,VESEY,,,,,,,,,,,,,,,,
"105 Av. D, h. 105 Av. D",TRUE,H. 105 AV. D,105,AV. D,,105 Av. D,105,Av. D,,start with h,105,AV D,,,,,,,,,,,,,,,,
"69 Orange, h. 77 Third",TRUE,H. 77 3RD,77,THIRD,,69 Orange,69,Orange,,start with h,77,3,,,RD,,,,,,,,,,,,,
"149 & 151 Front, h. 92 Madison",TRUE,H. 92 MADISON,92,MADISON,,149 & 151 Front,149,& 151 Front,,start with h,92,MADISON,,,,,,,,,,,,,,,,
"51 Exch, h. 31 W. 15th",TRUE,H. 31 W. 15TH,31,W. 15TH,,51 Exch,51,Exch,,start with h,31,W 15,,,TH,,,,,,,,,,,,,
"219 E. 13th, h. 217 E. 13th",TRUE,H. 217 E. 13TH,217,E. 13TH,,219 E. 13th,219,E. 13th,,start with h,217,E 13,,,TH,,,,,,,,,,,,,
"h. 101 Henry , Brooklyn",TRUE,"H. 101 HENRY , BROOKLYN",101,"HENRY ,",BROOKLYN,,,,,start with h,101,HENRY,BROOKLYN,,",",,,,,,,,,,,,,
"7 Av. D, h. 7 Av. D",TRUE,H. 7 AV. D,7,AV. D,,7 Av. D,7,Av. D,,start with h,7,AV D,,,,,,,,,,,,,,,,
"83 Leonard, h. 143 Reade FOR INSERTION , S , &C.",TRUE,"H. 143 READE FOR INSERTION , S , &C.",143,"READE FOR INSERTION , S , &C.",,83 Leonard,83,Leonard,,start with h,143,READE,,,"FOR INSERTION , S , &C.",,,,,,,,,,,,,
"117 Fulton, h. 4 Beach.",TRUE,H. 4 BEACH.,4,BEACH.,,117 Fulton,117,Fulton,,start with h,4,BEACH,,,.,,,,,,,,,,,,,
"707 Greenwich, h. 529 Hudson",TRUE,H. 529 HUDSON,529,HUDSON,,707 Greenwich,707,Greenwich,,start with h,529,HUDSON,,,,,,,,,,,,,,,,
"72 Vesey, h. 173 Wooster",TRUE,H. 173 WOOSTER,173,WOOSTER,,72 Vesey,72,Vesey,,start with h,173,WOOSTER,,,,,,,,,,,,,,,,
h. 95 W. 13th,TRUE,H. 95 W. 13TH,95,W. 13TH,,,,,,start with h,95,W 13,,,TH,,,,,,,,,,,,,
h. 53 Monroe,TRUE,H. 53 MONROE,53,MONROE,,,,,,start with h,53,MONROE,,,,,,,,,,,,,,,,
h. 72 Lewis,TRUE,H. 72 LEWIS,72,LEWIS,,,,,,start with h,72,LEWIS,,,,,,,,,,,,,,,,
h. 141 Norfolk,TRUE,H. 141 NORFOLK,141,NORFOLK,,,,,,start with h,141,NORFOLK,,,,,,,,,,,,,,,,
"16 Clarkson, h. 14 Clarkson",TRUE,H. 14 CLARKSON,14,CLARKSON,,16 Clarkson,16,Clarkson,,start with h,14,CLARKSON,,,,,,,,,,,,,,,,
"176 Wooster, h. 2 Congress",TRUE,H. 2 CONGRESS,2,CONGRESS,,176 Wooster,176,Wooster,,start with h,2,CONGRESS,,,,,,,,,,,,,,,,
"165 Pearl, h. Cincinnati , O",TRUE,"H. CINCINNATI , O",,,"CINCINNATI , O",165 Pearl,165,Pearl,,start with h,,,CINCINNATI,,", O",,,,,,,,,,,,,
"13 William, h. Court n. Degraw , Brooklyn",TRUE,"H. COURT N. DEGRAW , BROOKLYN",,,"COURT N. DEGRAW , BROOKLYN",13 William,13,William,,start with h,,DEGRAW,BROOKLYN,,"COURT N.  ,",,,,,,,,,,,,,
"W. 25th n. Av. 8, h. W 25th n. A.v. 8",TRUE,H. W 25TH N. A.V. 8,,,W 25TH N. A.V. 8,W. 25th n. Av. 8,,,W. 25th n. Av. 8,start with h,,,,,TN. AV,W 25,8,near,,,,,,,,,,
73 Maiden la. h. 43 Elm,Assume,73 MAIDEN LA. H. 43 ELM,73,MAIDEN LA. H. 43 ELM,,,,,,h in between,43,ELM,,,,,,,,73,MAIDEN LA,,,,,,.,
"1, 35 Wall, h. 415 Broome",Assume, 35 WALL  H. 415 BROOME,35,WALL H. 415 BROOME,,1,1,,,h in between,415,BROOME,,,,,,,,35,WALL,,,,,,,
"104 Broad, h. 23 Whitehall",TRUE,H. 23 WHITEHALL,23,WHITEHALL,,104 Broad,104,Broad,,start with h,23,WHITEHALL,,,,,,,,,,,,,,,,
h. 7 Chrystie,TRUE,H. 7 CHRYSTIE,7,CHRYSTIE,,,,,,start with h,7,CHRYSTIE,,,,,,,,,,,,,,,,
"118 Fulton, h. 76 Mott",TRUE,H. 76 MOTT,76,MOTT,,118 Fulton,118,Fulton,,start with h,76,MOTT,,,,,,,,,,,,,,,,
"645 B.way, h. 226 Wooster",TRUE,H. 226 WOOSTER,226,WOOSTER,,645 B.way,645,B.way,,start with h,226,WOOSTER,,,,,,,,,,,,,,,,
16 Burling slip. h. Brooklu,Assume,16 BURLING SLIP. H. BROOKLU,16,BURLING SLIP. H. BROOKLU,,,,,,h in between,,,,,BROOKLU,,,,,16,BURLING SLIP,,,,,,.,
267 Washington h. 5 Charlton,Assume,267 WASHINGTON H. 5 CHARLTON,267,WASHINGTON H. 5 CHARLTON,,,,,,h in between,5,CHARLTON,,,,,,,,267,WASHINGTON,,,,,,,
"87 Beaver, h. 2 College pl",TRUE,H. 2 COLLEGE PL,2,COLLEGE PL,,87 Beaver,87,Beaver,,start with h,,2,COLLEGE,,PL,,,,,,,,,,,,,
h. 184 Ludlow,TRUE,H. 184 LUDLOW,184,LUDLOW,,,,,,start with h,184,LUDLOW,,,,,,,,,,,,,,,,
"7 S. William, h. 102 Av. 2",TRUE,H. 102 AV. 2,102,AV. 2,,7 S. William,7,S. William,,start with h,102,2,,,10 AV,,,,,,,,,,,,,
"12 Sixth, h. 30 Bleecker",TRUE,H. 30 BLEECKER,30,BLEECKER,,12 Sixth,12,Sixth,,start with h,,30,LEE,,BCKER,,,,,,,,,,,,,
"560 Fourth, h. 560 Fourth",TRUE,H. 560 4TH,560,FOURTH,,560 Fourth,560,Fourth,,start with h,560,4,,,TH,,,,,,,,,,,,,
h. 291 Seventh,TRUE,H. 291 7TH,291,SEVENTH,,,,,,start with h,291,7,,,TH,,,,,,,,,,,,,
"19 Cliff, h. Williamsburg",TRUE,H. WILLIAMSBURG,,,,19 Cliff,19,Cliff,,start with h,,,WILLIAMSBURG,,,,,,,,,,,,,,,
h. 349 Broome,TRUE,H. 349 BROOME,349,BROOME,,,,,,start with h,349,BROOME,,,,,,,,,,,,,,,,
16 Burling sl. h. New J,Assume,16 BURLING SL. H. NEW J,16,BURLING SL. H. NEW J,,,,,,h in between,,,NEW J,,,,,,,,16,,,,,,BURLING SL.,
"500 West, h. 727 Washington",TRUE,H. 727 WASHINGTON,727,WASHINGTON,,500 West,500,West,,start with h,727,WASHINGTON,,,,,,,,,,,,,,,,
"249 Wooster, h. 154 Sullivan",TRUE,H. 154 SULLIVAN,154,SULLIVAN,,249 Wooster,249,Wooster,,start with h,154,SULLIVAN,,,,,,,,,,,,,,,,
"319 Hudson, h. 319 Hudson",TRUE,H. 319 HUDSON,319,HUDSON,,319 Hudson,319,Hudson,,start with h,319,HUDSON,,,,,,,,,,,,,,,,
"34 Av. C, h. 34 Av C",TRUE,H. 34 AV C,34,AV C,,34 Av. C,34,Av. C,,start with h,34,AV C,,,,,,,,,,,,,,,,
"1 Platt, h. 35 CHnton place",TRUE,H. 35 CHNTON PLACE,35,CHNTON PLACE,,1 Platt,1,Platt,,start with h,,35,,,CHNTON PLACE,,,,,,,,,,,,,
h. 529 Greenwich,TRUE,H. 529 GREENWICH,529,GREENWICH,,,,,,start with h,529,GREENWICH,,,,,,,,,,,,,,,,
"43 New, h. 8 University place",TRUE,H. 8 UNIVERSITY PLACE,8,UNIVERSITY PLACE,,43 New,43,New,,start with h,,8,UNIVERSITY,,PLACE,,,,,,,,,,,,,
"346 Sixth, h. 346 Sixth",TRUE,H. 346 6TH,346,SIXTH,,346 Sixth,346,Sixth,,start with h,346,6,,,34 TH,,,,,,,,,,,,,
"203 Mercer, h. 203 Mercer",TRUE,H. 203 MERCER,203,MERCER,,203 Mercer,203,Mercer,,start with h,203,MERCER,,,,,,,,,,,,,,,,
"166 Greenwich, h. Harlem",TRUE,H. HARLEM,,,,166 Greenwich,166,Greenwich,,start with h,,,,,HARLEM,,,,,,,,,,,,,
"61 Whitehall, h. Staten Island Ã¢ÂÂCONTINUED.",TRUE,H. STATEN ISLAND ÃÂÂCONTINUED.,,,STATEN ISLAND ÃÂÂCONTINUED.,61 Whitehall,61,Whitehall,,start with h,,,STATEN ISLAND,,ÃÂÂCONTINUED.,,,,,,,,,,,,,
"181 B.way, h. 46 Hudson",TRUE,H. 46 HUDSON,46,HUDSON,,181 B.way,181,B.way,,start with h,46,HUDSON,,,,,,,,,,,,,,,,
"31 Old slip, h. 5 State",TRUE,H. 5 STATE,5,STATE,,31 Old slip,31,Old slip,,start with h,5,STATE,,,,,,,,,,,,,,,,
"65 Beekman, h. Ob Beekman",TRUE,H. OB BEEKMAN,,,OB BEEKMAN,65 Beekman,65,Beekman,,start with h,,BEEKMAN,,,OB,,,,,,,,,,,,,
"564 Grand, h. 564 Grand",TRUE,H. 564 GRAND,564,GRAND,,564 Grand,564,Grand,,start with h,564,GRAND,,,,,,,,,,,,,,,,
"115 Pearl, h. 113 Clinton , Brooklyn",TRUE,"H. 113 CLINTON , BROOKLYN",113,"CLINTON ,",BROOKLYN,115 Pearl,115,Pearl,,start with h,113,CLINTON,BROOKLYN,,",",,,,,,,,,,,,,
"254 Washington, h. Jersey City",TRUE,H. JERSEY CITY,,,JERSEY CITY,254 Washington,254,Washington,,start with h,,,JERSEY CITY,,,,,,,,,,,,,,,
h. 217 W. 18th,TRUE,H. 217 W. 18TH,217,W. 18TH,,,,,,start with h,217,W 18,,,TH,,,,,,,,,,,,,
h. 161 Madison,TRUE,H. 161 MADISON,161,MADISON,,,,,,start with h,161,MADISON,,,,,,,,,,,,,,,,
"6 Sheriff, h. 65 S. Fifth , Williamsburg",TRUE,"H. 65 S. 5TH , WILLIAMSBURG",65,"S. FIFTH , WILLIAMSBURG",,6 Sheriff,6,Sheriff,,start with h,65,S 5,WILLIAMSBURG,,"S. 5T,",,,,,,,,,,,,,
h. 687 Hudson,TRUE,H. 687 HUDSON,687,HUDSON,,,,,,start with h,687,HUDSON,,,,,,,,,,,,,,,,
h. BÃ¢ÂÂklyn,TRUE,H. BÃÂÂKLYN,,,,,,,,start with h,,,,,BÃÂÂKLYN,,,,,,,,,,,,,
h. 65 Monroe,TRUE,H. 65 MONROE,65,MONROE,,,,,,start with h,65,MONROE,,,,,,,,,,,,,,,,
h. 12 Washington square,TRUE,H. 12 WASHINGTON SQUARE,12,WASHINGTON SQUARE,,,,,,start with h,12,WASHINGTON,,,SQUARE,,,,,,,,,,,,,
"660 Water, h. 90 Essex",TRUE,H. 90 ESSEX,90,ESSEX,,660 Water,660,Water,,start with h,90,ESSEX,,,,,,,,,,,,,,,,
"40 Spruce, h. 82 E. B.way",TRUE,H. 82 E. B.WAY,82,E. B.WAY,,40 Spruce,40,Spruce,,start with h,,82,,,E B.WAY,,,,,,,,,,,,,
h. Astor House,TRUE,H. ASTOR HOUSE,,,ASTOR HOUSE,,,,,start with h,,,,,ASTOR HOUSE,,,,,,,,,,,,,
"64 Broadway, h. Brooklyn",TRUE,H. BROOKLYN,,,,64 Broadway,64,Broadway,,start with h,,,BROOKLYN,,,,,,,,,,,,,,,
"232 Washington, h. 15 Union pl. Hoboken",TRUE,H. 15 UNION PL. HOBOKEN,15,UNION PL.,HOBOKEN,232 Washington,232,Washington,,start with h,15,UNION PL,HOBOKEN,,.,,,,,,,,,,,,,
h. 449 W. 29th,TRUE,H. 449 W. 29TH,449,W. 29TH,,,,,,start with h,449,W 29,,,TH,,,,,,,,,,,,,
"E. 19th n. B.way, h. 95 Greenwich Av",TRUE,H. 95 GREENWICH AV,95,GREENWICH AV,,E. 19th n. B.way,,,E. 19th n. B.way,start with h,95,GREENWICH,,,AV,,,,,,,,,,,,,
"238 William, h. 238 Wm",TRUE,H. 238 WM,238,WM,,238 William,238,William,,start with h,,238,,,WM,,,,,,,,,,,,,
"354 Grand, h. 107 Allen",TRUE,H. 107 ALLEN,107,ALLEN,,354 Grand,354,Grand,,start with h,107,ALLEN,,,,,,,,,,,,,,,,
"374Broadway, h. 12 Union place , S. Brooklyn",TRUE, H. 12 UNION PLACE   S. BROOKLYN,12,UNION PLACE S.,BROOKLYN,374Broadway,,,,start with h,12,UNION PL,BROOKLYN,,ACE   S.,,,,,,,,,,,,,
"346 Av. 4, h. 241 E. 25th",TRUE,H. 241 E. 25TH,241,E. 25TH,,346 Av. 4,346,Av. 4,,start with h,241,E 25,,,TH,,,,,,,,,,,,,
"16 Spruce, h. 13 Fifth",TRUE,H. 13 5TH,13,FIFTH,,16 Spruce,16,Spruce,,start with h,13,5,,,TH,,,,,,,,,,,,,
"192 Pearl, h. 9 Warren pl",TRUE,H. 9 WARREN PL,9,WARREN PL,,192 Pearl,192,Pearl,,start with h,9,WARREN PL,,,,,,,,,,,,,,,,
"39 B.way, h. Brooklyn",TRUE,H. BROOKLYN,,,,39 B.way,39,B.way,,start with h,,,BROOKLYN,,,,,,,,,,,,,,,
"396 Hudson, h. 114 Varick",TRUE,H. 114 VARICK,114,VARICK,,396 Hudson,396,Hudson,,start with h,114,VARICK,,,,,,,,,,,,,,,,
