"","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10"
"1",NA,NA,NA,NA,NA,"DEAN","VANDERBILT AVE",NA,NA,NA
"2","COLUMBIA INSTITUTE FOR THE EDUCATION OF BOYS COLUMBIA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,"NYH UNION","CT",NA,NA,NA
"4",NA,NA,NA,NA,NA,"PACIFIC","BOERUM",NA,NA,NA
"5","KENT AVE NORTH",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,"BOND","STATE",NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,"295 PEARL NYH 362 ATLANTIC","HOYT",NA,NA,NA
"8",NA,NA,NA,"NAVY","SANDS",NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,"CLARKS ALY","YORK",NA,NA,NA
"10",NA,NA,NA,"STATE","SMITH",NA,NA,NA,NA,NA
"11","14 JAMES AND 59 PEARL","14","JAMES AND 59 PEARL",NA,NA,NA,NA,NA,NA,NA
"12","267 HUDSON AVE","267","HUDSON AVE",NA,NA,NA,NA,NA,NA,NA
"13","1 YORK","1","YORK",NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,"BUTLER","CT",NA,NA,NA
"15",NA,NA,NA,NA,NA,"HOYT","ATLANTIC",NA,NA,NA
"16","90 N FULTON Y H 163 FRONT","90","N FULTON Y H 163 FRONT",NA,NA,NA,NA,NA,"163","FRONT"
"17","234 HUDSON AVE","234","HUDSON AVE",NA,NA,NA,NA,NA,NA,NA
"18","LITTLE DOCK H 248 MARSHALL",NA,NA,NA,NA,NA,NA,NA,"248","MARSHALL"
"19","177 GOLD","177","GOLD",NA,NA,NA,NA,NA,NA,NA
"20","S U N 32 HUDSON AVE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","36 STATE","36","STATE",NA,NA,NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA,"SCHERMERHORN","BOERUM",NA,NA,NA
"23",NA,NA,NA,NA,NA,"HAMILTON AVE","FERRY",NA,NA,NA
"24",NA,NA,NA,NA,NA,"HOYT","STATE",NA,NA,NA
"25",NA,NA,NA,NA,NA,"MYRTLE","CLASSON AVE",NA,NA,NA
"26",NA,NA,NA,"LITTLE","UNITED STATE",NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,"MYRTLE AVE","CLASSON AVE",NA,NA,NA
"28","1 MCKENNEY","1","MCKENNEY",NA,NA,NA,NA,NA,NA,NA
