"","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,"3 AVE","16 GOWANUS",NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","YARD 19 C 3 AVE H MIDDLE GOWANUS","19","C 3 AVE H MIDDLE GOWANUS",NA,NA,NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,"CLASSON","FLUSHING AVE",NA,NA,NA
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,"61 CARLTON","MYRTLE AVE",NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,"CLASSON","MYRTLE AVE",NA,NA,NA
"19","COPPERPLATE MAKER 120 N WILLIAM Y H",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,"FLUSHING AVE","NOSTRAND AVE",NA,NA,NA
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,"5 AVE","9 GOWANUS",NA,NA,NA
"25","MAIN C YORK AND 138 FULTON H FLEETS ALY",NA,NA,NA,NA,NA,NA,"LEE",NA,NA
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,"3 AVE AND 16 GOWANUS",NA,NA,NA,NA,NA
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",NA,NA,NA,NA,NA,"22","3 AVE GOWANUS",NA,NA,NA
"38",NA,NA,NA,NA,NA,"CLERMONT","MYRTLE AVE",NA,NA,NA
"39",NA,NA,NA,NA,NA,"BALTIC","HENRY",NA,NA,NA
"40","WOOD AND WARE AGENCY 46 FULTON H",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","FLUSHING C RYERSON AVE AIDERMAN 7 WARD) H",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",NA,NA,NA,"3 AVE","27 H N 21 3 AVE GOWANUS","3 AVE C 27 H 21","3 AVE GOWANUS",NA,NA,NA
"57",NA,NA,NA,NA,NA,"63 CARLTON","MYRTLE AVE",NA,NA,NA
"58","ATTORNEY AND COUNSELLOR AT LAW AND COMMISSIONER OF DEEDS 307 FULTON H",NA,NA,NA,NA,NA,NA,NA,NA,NA
