"","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10"
"1","ALBRO BENJAMIN SEN H 328 BOWERY",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,"E 13","AVE. A",NA,NA,NA
"3","E 24 AVE C H 3","24","AVE C H 3",NA,NA,NA,NA,NA,NA,"3"
"4",NA,NA,NA,NA,NA,"AVE. C","11",NA,NA,NA
"5","N 24 AVE H 10","24","AVE N H 10",NA,NA,NA,NA,NA,NA,"10"
"6","W N 26 AVE H 7","26","AVE N H 7",NA,NA,NA,NA,NA,NA,"7"
"7","W N 25 AVE H 10","25","AVE N H 10",NA,NA,NA,NA,NA,NA,"10"
"8",NA,NA,NA,"AVE. D","4",NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,"3","AVE. A",NA,NA,NA
"10",NA,NA,NA,"TWELH","DRY DOCK",NA,NA,NA,NA,NA
"11","W N 28 AVE H 7","28","AVE N H 7",NA,NA,NA,NA,NA,NA,"7"
"12","PEARL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","6504","650","4",NA,NA,NA,NA,NA,NA,NA
"14","E N 16 AVE H 1","16","AVE N H 1",NA,NA,NA,NA,NA,NA,"1"
"15","W N 29 AVE H 11","29","AVE N H 11",NA,NA,NA,NA,NA,NA,"11"
"16","W 27 B AVS H 9 AND 10","27","B AVS H 9 AND 10",NA,NA,NA,NA,NA,"9","10"
"17",NA,NA,NA,"9","AVE. C",NA,NA,NA,NA,NA
"18","E N 22 AVE H 3","22","AVE N H 3",NA,NA,NA,NA,NA,NA,"3"
"19",NA,NA,NA,NA,NA,"TWELH","DRY DOCK",NA,NA,NA
"20","E N 23 AVE H 4","23","AVE N H 4",NA,NA,NA,NA,NA,NA,"4"
"21","ABB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","H. BROOKLYN",NA,NA,NA,NA,NA,NA,"BROOKLYN",NA,NA
"23","295 PEARL","295","PEARL",NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","REV",NA,NA,NA,NA,NA,NA,NA,"260","GREENE"
"26","158W 20","20",NA,NA,NA,NA,NA,NA,NA,NA
"27","E N 30 AVE H 3","30","AVE N H 3",NA,NA,NA,NA,NA,NA,"3"
"28","WILL BE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","273 BOWERY ,H 187 FORSYTH","187","FORSYTH",NA,NA,NA,NA,NA,"187","FORSYTH"
"30","W N 29 AVE H 8","29","AVE N H 8",NA,NA,NA,NA,NA,NA,"8"
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","140 B.WAY , RATHBUNS","140","B.WAY , RATHBUNS",NA,NA,NA,NA,NA,NA,NA
"33","W N 27 AVE H 6","27","AVE N H 6",NA,NA,NA,NA,NA,NA,"6"
"34","ACK",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","A H 308 RIVINGTON",NA,NA,NA,NA,NA,NA,NA,"308","RIVINGTON"
"36","W N 26 AVE H 7","26","AVE N H 7",NA,NA,NA,NA,NA,NA,"7"
"37","HEALTHWARDEN 15WRD,261 ELIZBTH",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","W N 13 AVE H 8","13","AVE N H 8",NA,NA,NA,NA,NA,NA,"8"
"39","155 DIVISION","155","DIVISION",NA,NA,NA,NA,NA,NA,NA
"40","260 DIVISION","260","DIVISION",NA,NA,NA,NA,NA,NA,NA
"41","ADA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","W N 29 AVE H 10","29","AVE N H 10",NA,NA,NA,NA,NA,NA,"10"
"43","W N 36 AVE H 9","36","AVE N H 9",NA,NA,NA,NA,NA,NA,"9"
"44","7 WRD BNK ,W H 30 AV7","30","AV7",NA,NA,NA,NA,NA,"30","7"
"45","OF LUMBER,18 MINETTA LA.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","H 103 NASSAU","103","NASSAU",NA,NA,NA,NA,NA,"103","NASSAU"
"47","260 DIVISION","260","DIVISION",NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","W N 28 AVE H 10","28","AVE N H 10",NA,NA,NA,NA,NA,NA,"10"
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","ADA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,NA,NA,NA,NA,"E 25","LEXINGTON AVE.",NA,NA,NA
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","W N 28 AVE H 8","28","AVE N H 8",NA,NA,NA,NA,NA,NA,"8"
"55","H. AD OF STRONG PL. BROOKLYN",NA,NA,NA,NA,NA,NA,"BROOKLYN",NA,"STRONG PL"
"56","ADR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","AIK",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","W N 34 ALY H 6","34","N ALY H 6",NA,NA,NA,NA,NA,NA,"6"
"60","171 FRONT , EARLES","171","FRONT , EARLES",NA,NA,NA,NA,NA,NA,NA
"61","AIREY W ESTHER OF GEORGE,TH AMITY PL.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","H H 173 STH","173","STH",NA,NA,NA,NA,NA,NA,"173"
"63","124 CANNON","124","CANNON",NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","369 PEARL","369","PEARL",NA,NA,NA,NA,NA,NA,NA
"66","ALE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","MANUFACTURER OF INCORRUPTI BLE TEETH H 78 CHAMBERS",NA,NA,NA,NA,NA,NA,NA,"78","CHAMBERS"
"68","112 WEST , NORTHRN","112","WEST , NORTHRN",NA,NA,NA,NA,NA,NA,NA
"69","AVE N H 9",NA,NA,NA,NA,NA,NA,NA,NA,"9"
"70","AVE N H 3",NA,NA,NA,NA,NA,NA,NA,NA,"3"
"71","ALLEN A B AND CO H 189 AND 191 WATER",NA,NA,NA,NA,NA,NA,NA,"189","WATER"
"72","W R N 18 AVE H 6",NA,NA,NA,NA,NA,NA,NA,NA,"6"
"73","W N 37 AVE H 9","37","AVE N H 9",NA,NA,NA,NA,NA,NA,"9"
"74","159 WATER","159","WATER",NA,NA,NA,NA,NA,NA,NA
"75","W N 32 AVE H 7","32","AVE N H 7",NA,NA,NA,NA,NA,NA,"7"
"76","W N 25 AVE H 7","25","AVE N H 7",NA,NA,NA,NA,NA,NA,"7"
"77","592 GRAND","592","GRAND",NA,NA,NA,NA,NA,NA,NA
"78","E N 24 AVE H 1","24","AVE N H 1",NA,NA,NA,NA,NA,NA,"1"
"79","851 B.WAY","851","B.WAY",NA,NA,NA,NA,NA,NA,NA
"80","127 BROAD , BROOKLYN","127","BROAD ,",NA,NA,NA,NA,NA,NA,NA
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","191 WATER","191","WATER",NA,NA,NA,NA,NA,NA,NA
"83",NA,NA,NA,NA,NA,"TWELH","AVE. C",NA,NA,NA
"84","W N 27 AVE H 8","27","AVE N H 8",NA,NA,NA,NA,NA,NA,"8"
"85","H 117 CHRYSTIE",NA,NA,NA,NA,NA,NA,NA,NA,"CHRYSTIE"
"86",NA,NA,NA,"E 22","LEXINGTN AVE.",NA,NA,NA,NA,NA
"87","BROOKLYN",NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","0","0",NA,NA,NA,NA,NA,NA,NA,NA
"89","252 STANTON","252","STANTON",NA,NA,NA,NA,NA,NA,NA
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","AME",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","255 STANTON","255","STANTON",NA,NA,NA,NA,NA,NA,NA
"93","116 AVE H 7","116","AVE H 7",NA,NA,NA,NA,NA,NA,"7"
"94","GANSEVOORT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","AMERICAN BAPTIST HOME MISSION SOC H 354 BROOME",NA,NA,NA,NA,NA,NA,NA,"354","BROOME"
"96","AMERICAN EXPRESS CO H 83 BROADWAY",NA,NA,NA,NA,NA,NA,NA,"83","BROADWAY"
"97","H 3G PARK ROW ~",NA,NA,NA,NA,NA,NA,NA,NA,"PARK ROW"
"98","AMERICAN INSTITUTE 351 BROADWAY",NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","H H 42 DOMINK","42","DOMINK",NA,NA,NA,NA,NA,NA,"42"
"100","REV",NA,NA,NA,NA,NA,NA,NA,"176","DUANE"
"101","166 WATER , U.S.","166","WATER , U.S.",NA,NA,NA,NA,NA,NA,NA
"102","22 FRANKFORT","22","FRANKFORT",NA,NA,NA,NA,NA,NA,NA
"103","W N 27 AVE H 8","27","AVE N H 8",NA,NA,NA,NA,NA,NA,"8"
"104","W N 29 AVE H 8","29","AVE N H 8",NA,NA,NA,NA,NA,NA,"8"
