"","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10"
"1",NA,NA,NA,NA,NA,"ANNS AVE","153",NA,NA,NA
"2",NA,NA,NA,NA,NA,"169","3 AVE.",NA,NA,NA
"3",NA,NA,NA,NA,NA,"3 AVE","166",NA,NA,NA
"4",NA,NA,NA,NA,NA,"150","COURTLAND AVE.",NA,NA,NA
"5",NA,NA,NA,NA,NA,"148","3 AVE.",NA,NA,NA
"6",NA,NA,NA,NA,NA,"E 97","3 AVE.",NA,NA,NA
"7","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"8",NA,NA,NA,"CONCORD AVE.","CLIFF",NA,NA,NA,NA,NA
"9",NA,NA,NA,"BROADWAY","MANHATTAN",NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,NA,NA,NA,NA,"3 AVE","170",NA,NA,NA
"12",NA,NA,NA,"AVE A","E 58",NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,"9 AVE","W 91",NA,NA,NA
"14",NA,NA,NA,NA,NA,"MADISON AVE","E 122",NA,NA,NA
"15",NA,NA,NA,NA,NA,"3 AVE","170",NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,"CONCORD AVE.","CLIFF",NA,NA,NA
"18",NA,NA,NA,NA,NA,"W 71","8 AVE.",NA,NA,NA
"19",NA,NA,NA,NA,NA,"8 AVE","W 126",NA,NA,NA
"20",NA,NA,NA,NA,NA,"10 AVE.","W",NA,NA,NA
"21","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"22",NA,NA,NA,NA,NA,"8 AVE.","W",NA,NA,NA
"23","TRAMARINE WORKS,Ã¢ÂÂA. BERINGERS PULP COLORS,Ã¢ÂÂFOR J. H. ALBUMEN AND",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,"W 61","11 AVE.",NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,"9 AVE","W 69",NA,NA,NA
"26",NA,NA,NA,NA,NA,"3 AVE","169",NA,NA,NA
"27",NA,NA,NA,NA,NA,"AVE A","E 74",NA,NA,NA
"28",NA,NA,NA,NA,NA,"152","3 AVE.",NA,NA,NA
"29",NA,NA,NA,NA,NA,"4 AVE","E 77",NA,NA,NA
"30",NA,NA,NA,NA,NA,"152","MORRIS AVE.",NA,NA,NA
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","H. GRAMERCY PARK. H.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",NA,NA,NA,NA,NA,"153","ELTON AVE.",NA,NA,NA
"34",NA,NA,NA,NA,NA,"151","MORRIS AVE.",NA,NA,NA
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","H. LA.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"38",NA,NA,NA,NA,NA,"FULTON AVE","169",NA,NA,NA
"39","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"40",NA,NA,NA,NA,NA,"LEX AVE","E 128",NA,NA,NA
"41","H. B KLYN",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",NA,NA,NA,NA,NA,"141","3 AVE",NA,NA,NA
"43","H. GRAND UNION H.",NA,NA,NA,NA,NA,NA,NA,NA,"UNION"
"44","YOUNG FOLKS PAPER H 64 BIBLE H.",NA,NA,NA,NA,NA,NA,NA,"64","BIBLE"
"45","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"46",NA,NA,NA,"BROADWAY","W 129",NA,NA,NA,NA,NA
"47","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"48","H. R. I.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",NA,NA,NA,NA,NA,"158","R. R. AVE.",NA,NA,NA
"52","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"53",NA,NA,NA,NA,NA,"141","3 AVE.",NA,NA,NA
"54",NA,NA,NA,"E 120","3 AVE.",NA,NA,NA,NA,NA
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",NA,NA,NA,NA,NA,"W 59","9 AVE.",NA,NA,NA
