,hn_1,best_match
0,,
1,,
2,,
3,,
4,,MERCHANT
5,,
6,,CT
7,141.0,FRONT
8,,
9,,
10,2954.0,PEARL
11,,
12,,MYRTLE & nan
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,73.0,WILLIAM
25,15.0,CORTLANDT
26,,
27,23.0,MYRTLE AVE
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,130.0,BROAD
38,,
39,,GREEN JANE
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,15.0,STONE
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,80.0,WALL
58,,
59,,
60,,
61,,
62,,
63,203.0,BROADWAY
64,,
65,,
66,,
67,,
68,90.0,FRONT
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,104.0,WALL
80,,
81,,
82,,UDSON AVE
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,137.0,FRONT
94,,
95,,
96,137.0,FRONT
97,156.0,BROADWAY
98,,
99,58.0,JOHN
100,,PLYMOUTH
101,,INGTON
102,61.0,LIBERTY
103,,
104,43.0,
105,,
106,26.0,JOBN
107,,
108,,
109,45.0,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,CLINTON & MYRTLE
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,OF
127,,
128,,
129,,
130,,
131,,
132,,
133,257.0,PEARL
134,,
135,,
136,63.0,
137,63.0,
138,,
139,,
140,,
141,,S ALY
142,,
143,,
144,,
145,3.0,MIDDAGH
146,,
147,,
148,,
149,,TALMAN
150,,
151,275.0,BROADWAY
152,262.0,FULTON
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,FULTON
161,,
162,150.0,FRONT
163,,FULTON AVE
164,,
165,10.0,OLD SLIP
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,SPRUCE
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,TISON
193,31.0,BROAD
194,,
195,,
196,,
197,,
198,,FURMAN
199,222.0,PEARL
200,,29 GOWANUS
201,,
202,,
203,,
204,,
205,195.0,
206,102.0,
207,,
208,81.0,WATER
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,62.0,STATE
242,,
243,,
244,,
245,,
246,,
247,11.0,
248,,
249,,
250,,
251,,
252,,CT
253,32.0,FRONT
254,,
255,,
256,,
257,,
258,,
259,26.0,
260,,
261,,
262,,
263,,
264,,
265,,
266,,3D AVE GOWANUS
267,,
268,,
269,,
