"","hn_1","best_match","street_type","base_function","suffix_true","both_true"
"1",NA,"","ST",NA,NA,NA
"2",NA,"","ST",NA,NA,NA
"3",NA,"","ST",NA,NA,NA
"4",NA,"","ST",NA,NA,NA
"5",NA,"MERCHANT","ST","MERCHANT ST","MERCHANT ST","MERCHANT ST"
"6",NA,"","ST",NA,NA,NA
"7",NA,"CT","ST","CT ST","CT ST","CT ST"
"8",141,"FRONT","ST","141 FRONT ST","141 FRONT ST","141 FRONT ST"
"9",NA,"","ST",NA,NA,NA
"10",NA,"","ST",NA,NA,NA
"11",2954,"PEARL","ST","2954 PEARL ST","2954 PEARL ST","2954 PEARL ST"
"12",NA,"","ST",NA,NA,NA
"13",NA,"MYRTLE AND JAY","ST","MYRTLE AND JAY ST","MYRTLE AND JAY ST","MYRTLE AND JAY ST"
"14",NA,"","ST",NA,NA,NA
"15",NA,"","ST",NA,NA,NA
"16",NA,"","ST",NA,NA,NA
"17",NA,"","ST",NA,NA,NA
"18",NA,"","ST",NA,NA,NA
"19",NA,"","ST",NA,NA,NA
"20",NA,"Y","ST","Y ST","Y ST","Y ST"
"21",NA,"","ST",NA,NA,NA
"22",NA,"","ST",NA,NA,NA
"23",NA,"","ST",NA,NA,NA
"24",NA,"","ST",NA,NA,NA
"25",73,"WILLIAM","ST","73 WILLIAM ST","73 WILLIAM ST","73 WILLIAM ST"
"26",15,"CORTLANDT","ST","15 CORTLANDT ST","15 CORTLANDT ST","15 CORTLANDT ST"
"27",NA,"","ST",NA,NA,NA
"28",23,"MYRTLE AVE","AVE","23 MYRTLE AVE","23 MYRTLE AVE","23 MYRTLE AVE"
"29",NA,"","ST",NA,NA,NA
"30",NA,"","ST",NA,NA,NA
"31",NA,"","ST",NA,NA,NA
"32",NA,"","ST",NA,NA,NA
"33",NA,"","ST",NA,NA,NA
"34",NA,"","ST",NA,NA,NA
"35",NA,"","ST",NA,NA,NA
"36",NA,"","ST",NA,NA,NA
"37",NA,"","ST",NA,NA,NA
"38",130,"BROAD","ST","130 BROAD ST","130 BROAD ST","130 BROAD ST"
"39",NA,"","ST",NA,NA,NA
"40",NA,"GREEN JANE","ST","GREEN JANE ST","GREEN JANE ST","GREEN JANE ST"
"41",NA,"","ST",NA,NA,NA
"42",NA,"","ST",NA,NA,NA
"43",NA,"","ST",NA,NA,NA
"44",NA,"","ST",NA,NA,NA
"45",NA,"","ST",NA,NA,NA
"46",NA,"","ST",NA,NA,NA
"47",NA,"Y","ST","Y ST","Y ST","Y ST"
"48",NA,"","ST",NA,NA,NA
"49",15,"STONE","ST","15 STONE ST","15 STONE ST","15 STONE ST"
"50",NA,"","ST",NA,NA,NA
"51",NA,"","ST",NA,NA,NA
"52",NA,"","ST",NA,NA,NA
"53",NA,"","ST",NA,NA,NA
"54",NA,"","ST",NA,NA,NA
"55",NA,"","ST",NA,NA,NA
"56",NA,"","ST",NA,NA,NA
"57",NA,"","ST",NA,NA,NA
"58",80,"WALL","ST","80 WALL ST","80 WALL ST","80 WALL ST"
"59",NA,"","ST",NA,NA,NA
"60",NA,"","ST",NA,NA,NA
"61",NA,"","ST",NA,NA,NA
"62",NA,"","ST",NA,NA,NA
"63",NA,"","ST",NA,NA,NA
"64",203,"BROADWAY","AVE","203 BROADWAY AVE","203 BROADWAY AVE","203 BROADWAY AVE"
"65",NA,"","ST",NA,NA,NA
"66",NA,"","ST",NA,NA,NA
"67",NA,"","ST",NA,NA,NA
"68",NA,"","ST",NA,NA,NA
"69",90,"FRONT","ST","90 FRONT ST","90 FRONT ST","90 FRONT ST"
"70",NA,"","ST",NA,NA,NA
"71",NA,"","ST",NA,NA,NA
"72",NA,"","ST",NA,NA,NA
"73",NA,"","ST",NA,NA,NA
"74",NA,"","ST",NA,NA,NA
"75",NA,"","ST",NA,NA,NA
"76",NA,"","ST",NA,NA,NA
"77",NA,"","ST",NA,NA,NA
"78",NA,"","ST",NA,NA,NA
"79",NA,"","ST",NA,NA,NA
"80",104,"WALL","ST","104 WALL ST","104 WALL ST","104 WALL ST"
"81",NA,"","ST",NA,NA,NA
"82",NA,"","ST",NA,NA,NA
"83",NA,"UDSON AVE","AVE","UDSON AVE","UDSON AVE","UDSON AVE"
"84",NA,"","ST",NA,NA,NA
"85",NA,"","ST",NA,NA,NA
"86",NA,"","ST",NA,NA,NA
"87",NA,"","ST",NA,NA,NA
"88",NA,"","ST",NA,NA,NA
"89",NA,"","ST",NA,NA,NA
"90",NA,"","ST",NA,NA,NA
"91",NA,"","ST",NA,NA,NA
"92",NA,"","ST",NA,NA,NA
"93",NA,"","ST",NA,NA,NA
"94",137,"FRONT","ST","137 FRONT ST","137 FRONT ST","137 FRONT ST"
"95",NA,"","ST",NA,NA,NA
"96",NA,"","ST",NA,NA,NA
"97",137,"FRONT","ST","137 FRONT ST","137 FRONT ST","137 FRONT ST"
"98",156,"BROADWAY","AVE","156 BROADWAY AVE","156 BROADWAY AVE","156 BROADWAY AVE"
"99",NA,"","ST",NA,NA,NA
"100",58,"JOHN","ST","58 JOHN ST","58 JOHN ST","58 JOHN ST"
"101",NA,"PLYMOUTH CH","ST","PLYMOUTH CH ST","PLYMOUTH CH ST","PLYMOUTH CH ST"
"102",NA,"INGTON","ST","INGTON ST","INGTON ST","INGTON ST"
"103",61,"LIBERTY","ST","61 LIBERTY ST","61 LIBERTY ST","61 LIBERTY ST"
"104",NA,"","ST",NA,NA,NA
"105",43,"FULTON","ST","43 FULTON ST","43 FULTON ST","43 FULTON ST"
"106",NA,"","ST",NA,NA,NA
"107",26,"JOBN","ST","26 JOBN ST","26 JOBN ST","26 JOBN ST"
"108",NA,"","ST",NA,NA,NA
"109",NA,"","ST",NA,NA,NA
"110",45,"FULTON","ST","45 FULTON ST","45 FULTON ST","45 FULTON ST"
"111",NA,"","ST",NA,NA,NA
