,hn_1,best_match
1,NA,
2,NA,
3,NA,
4,NA,
5,NA,MERCHANT
6,NA,
7,NA,CT
8,141,FRONT
9,NA,
10,NA,
11,2954,PEARL
12,NA,
13,NA,MYRTLE AND JAY
14,NA,
15,NA,
16,NA,
17,NA,
18,NA,
19,NA,
20,NA,Y
21,NA,
22,NA,
23,NA,
24,NA,
25,73,WILLIAM
26,15,CORTLANDT
27,NA,
28,23,MYRTLE AVE
29,NA,
30,NA,
31,NA,
32,NA,
33,NA,
34,NA,
35,NA,
36,NA,
37,NA,
38,130,BROAD
39,NA,
40,NA,GREEN JANE
41,NA,
42,NA,
43,NA,
44,NA,
45,NA,
46,NA,
47,NA,Y
48,NA,
49,15,STONE
50,NA,
51,NA,
52,NA,
53,NA,
54,NA,
55,NA,
56,NA,
57,NA,
58,80,WALL
59,NA,
60,NA,
61,NA,
62,NA,
63,NA,
64,203,BROADWAY
65,NA,
66,NA,
67,NA,
68,NA,
69,90,FRONT
70,NA,
71,NA,
72,NA,
73,NA,
74,NA,
75,NA,
76,NA,
77,NA,
78,NA,
79,NA,
80,104,WALL
81,NA,
82,NA,
83,NA,UDSON AVE
84,NA,
85,NA,
86,NA,
87,NA,
88,NA,
89,NA,
90,NA,
91,NA,
92,NA,
93,NA,
94,137,FRONT
95,NA,
96,NA,
97,137,FRONT
98,156,BROADWAY
99,NA,
100,58,JOHN
101,NA,PLYMOUTH CH
102,NA,INGTON
103,61,LIBERTY
104,NA,
105,43,FULTON
106,NA,
107,26,JOBN
108,NA,
109,NA,
110,45,FULTON
111,NA,
112,NA,
113,NA,
114,NA,
115,NA,
116,NA,
117,NA,
118,NA,
119,NA,
120,NA,
121,NA,Y
122,NA,
123,NA,
124,NA,
125,NA,
126,NA,
127,NA,AMITY
128,NA,
129,NA,
130,NA,
131,NA,
132,NA,
133,NA,
134,257,PEARL
135,NA,
136,NA,
137,63,ATLANTIC
138,63,ATLANTIC
139,NA,
140,NA,
141,NA,
142,NA,S ALY
143,NA,Y
144,NA,
145,NA,
146,NA,
147,NA,
148,NA,
149,NA,
150,NA,TALMAN
151,NA,
152,275,BROADWAY
153,262,FULTON
154,NA,
155,NA,
156,NA,
157,NA,
158,NA,
159,NA,
160,NA,
161,NA,FULTON
162,NA,
163,150,FRONT
164,NA,FULTON AVE
165,NA,
166,10,OLD SLIP
167,NA,
168,NA,
169,NA,
170,NA,
171,NA,
172,NA,
173,NA,
174,NA,
175,NA,
176,NA,
177,NA,SPRUCE
178,NA,
179,NA,
180,NA,
181,NA,
182,NA,
183,NA,
184,NA,
185,NA,
186,NA,
187,NA,
188,NA,
189,NA,
190,NA,
191,NA,
192,NA,
193,NA,TISON
194,31,BROAD
195,NA,
196,NA,
197,NA,
198,NA,
199,NA,FURMAN AND STATE
200,222,PEARL
201,NA,29 GOWANUS
202,NA,
203,NA,
204,NA,
205,NA,
206,195,WASHINGTON
207,102,FRONT
208,NA,
209,81,WATER
210,NA,
211,NA,
212,NA,
213,NA,
214,NA,
215,NA,
216,NA,
217,NA,
218,NA,
219,NA,
220,NA,
221,NA,
222,NA,
223,NA,
224,NA,
225,NA,
226,NA,
227,NA,
228,NA,
229,NA,
230,NA,
231,NA,
232,NA,
233,NA,
234,NA,
235,NA,
236,NA,
237,NA,
238,NA,
239,NA,
240,NA,
241,NA,
242,62,STATE
243,NA,
244,NA,
245,NA,
246,NA,
247,NA,
248,11,WATER
249,NA,
250,NA,
251,NA,
252,NA,
253,NA,CT
254,32,FRONT
255,NA,
256,NA,
257,NA,
258,NA,
259,NA,
260,26,FULTON
261,NA,
262,NA,
263,NA,
264,NA,
265,NA,
266,NA,
267,NA,
268,NA,
269,NA,
270,NA,
271,NA,
272,NA,
273,NA,
274,NA,POPLAR
275,NA,
276,NA,
277,NA,
278,NA,
279,NA,
280,NA,
281,NA,FLUSHING AND AND KENT AVE
282,NA,
283,NA,
284,NA,
285,NA,
286,NA,
287,NA,
288,NA,
289,NA,
290,NA,
291,NA,
292,NA,
293,1,JOHNS LN
294,NA,
295,NA,
296,NA,
297,NA,
298,NA,
299,NA,
300,NA,
301,NA,
302,NA,
303,NA,
304,NA,
305,123,ATLANTIC
306,NA,
307,NA,
308,NA,
309,NA,
310,NA,
311,NA,COLUMBIA
312,NA,
313,NA,
314,NA,
315,NA,
316,NA,
317,274,PEARL
318,NA,
319,NA,
320,NA,
321,NA,
322,NA,
323,NA,
324,NA,
325,NA,
326,NA,
327,NA,
328,NA,
329,NA,
330,NA,
331,NA,
332,NA,
333,NA,
334,NA,KENT ALY
335,NA,
336,NA,
337,NA,
338,NA,
339,NA,
340,NA,
341,NA,
342,NA,COLUMBIA AND CONGRESS
343,NA,
344,NA,
345,NA,
346,36,FERRY
347,NA,
348,NA,
349,NA,
350,NA,
351,NA,
352,NA,
353,NA,
354,NA,
355,NA,
356,40,NEW
357,NA,MERCHANT
358,NA,
359,NA,
360,NA,HAT AND FUR STORE 199 FULTON
361,NA,CRANBERRY
362,NA,Y
363,NA,ORANGE
364,NA,
365,NA,
366,NA,
367,NA,
368,NA,
369,NA,
370,NA,
371,NA,
372,NA,
373,NA,
374,NA,
375,NA,
376,NA,
377,NA,
378,NA,
379,NA,
380,NA,
381,NA,
382,NA,
383,NA,
384,232,FULTON
385,NA,
386,79,PEARL
387,NA,
388,NA,PRINCE
389,NA,WATER AND FULTON
390,NA,
391,NA,FULTON FERRY
392,NA,
393,NA,
394,NA,
395,NA,
396,NA,
397,NA,
398,NA,
399,NA,
400,60,CHERRY
401,NA,
402,NA,
403,NA,
404,NA,
405,NA,
406,NA,
407,NA,
408,NA,
409,NA,
410,NA,
411,NA,
412,NA,
413,NA,
414,NA,
415,NA,
416,NA,SANDS AND PEARL
417,NA,PHOENIX BANK
418,NA,DOUGHTY
419,106,MURRAY
420,NA,
421,NA,
422,NA,
423,NA,
424,NA,
425,NA,
426,NA,
427,42,N FULTON
428,NA,
429,NA,
430,NA,
431,NA,
432,NA,
433,NA,
434,NA,
435,NA,
436,NA,DEGRAW
437,NA,
438,NA,
439,NA,
440,NA,
441,NA,
442,59,PEARL
443,NA,
444,NA,
445,NA,
446,NA,
447,NA,
448,NA,
449,NA,
450,NA,
451,NA,
452,NA,HOYT AND ATLANTIC
453,NA,
454,NA,
455,NA,
456,150,NASSAU
457,71,NASSAU
458,76,N BROAD VY
459,NA,
460,NA,LITTLE DOCK
461,NA,
462,NA,
463,NA,
464,NA,
465,32,PEARL
466,NA,
467,NA,
468,NA,
469,NA,
470,18,SOUTH
471,NA,
472,NA,
473,NA,
474,NA,
475,NA,MERCH AND T116 WALLN
476,NA,
477,71,WALL
478,NA,
479,NA,
480,NA,
481,179,BROADWAY
482,NA,
483,NA,
484,NA,
485,NA,
486,NA,
487,NA,
488,NA,
489,NA,
490,NA,
491,NA,
492,NA,
493,NA,
494,NA,
495,NA,
496,100,WILLIAM
497,NA,
498,NA,BUILDINGS CT
499,NA,
500,NA,
501,NA,
502,NA,
503,NA,
504,NA,HICKS
505,26,BROAD
506,NA,
507,NA,
508,NA,
509,NA,
510,NA,
511,NA,
512,NA,VY
513,NA,
514,NA,
515,NA,
516,NA,
517,NA,
518,NA,
519,NA,
520,NA,
521,NA,
522,NA,
523,NA,WANUS
524,NA,
525,NA,
526,NA,
527,NA,
528,NA,
529,NA,
530,NA,
531,NA,
532,NA,
533,NA,
534,NA,
535,NA,
536,NA,WARREN
537,12,BROADWAY
538,NA,
539,NA,
540,11,WALL
541,NA,
542,4,CORTLANDT
543,67,WILLIAM
544,52,CEDAR
545,1836,NASSAA
546,42,FULTON
547,NA,
548,NA,
549,NA,
550,NA,
551,NA,
552,NA,CT
553,NA,
554,NA,
555,NA,
556,NA,
557,NA,
558,NA,
559,NA,
560,NA,
561,NA,
562,NA,
563,NA,JOHN AND BRG
564,NA,
565,NA,
566,NA,
567,NA,
568,NA,
569,NA,
570,179,WATER
571,NA,REMSEN U HENRY
572,NA,
573,45,SOUTH
574,NA,
575,NA,
576,NA,HAMILTON ALY
577,NA,
578,NA,
579,NA,
580,NA,
581,NA,
582,60,CATHERINE
583,NA,
584,NA,
585,NA,
586,NA,
587,17,ATLANTIC
588,NA,
589,NA,
590,NA,
591,NA,
592,NA,
593,NA,
594,NA,
595,NA,
596,NA,
597,NA,
598,NA,
599,NA,
600,NA,
601,NA,
602,NA,
603,NA,
604,NA,
605,NA,
606,NA,
607,NA,
608,NA,
609,NA,
610,NA,
611,NA,
612,NA,
613,NA,
614,NA,HENRY
615,63,WATER
616,NA,
617,NA,
618,NA,
619,NA,
620,NA,
621,NA,
622,NA,
623,NA,
624,NA,
625,123,PEARL NW
626,NA,
627,121,GREENWICH
628,NA,
629,NA,
630,NA,
631,NA,
632,NA,
633,NA,
634,NA,
635,NA,
636,NA,
637,NA,
638,NA,
639,NA,
640,NA,
641,NA,
642,NA,
643,NA,
644,NA,
645,NA,27 GOWANUS
646,NA,
647,NA,
648,NA,
649,351,BROADWAY
650,NA,
651,NA,WATER AND FULTON
652,NA,
653,NA,
654,NA,
655,NA,
656,NA,
657,NA,
658,NA,
659,NA,
660,NA,
661,NA,
662,NA,
663,NA,
664,NA,
665,NA,
666,NA,
667,NA,MYRTLE ALY
668,NA,
669,NA,
670,NA,
671,NA,
672,NA,
673,NA,
674,NA,
675,NA,MYRTLE AND CLASSON AVE
676,NA,
677,NA,
678,NA,
679,NA,
680,NA,MYRTLEAV
681,NA,
682,NA,
683,NA,
684,NA,
685,8,MAIDEN LN
686,NA,
687,NA,
688,NA,
689,NA,
690,NA,
691,NA,
692,NA,
693,31,HENRY
694,NA,
695,NA,
696,NA,
697,NA,GOWANUS
698,NA,
699,NA,
700,NA,
701,NA,
702,NA,
703,NA,
704,NA,
