,n_street1,n_street2,c_street1,c_street2,Full Address,H Address,H House Number,H Street Name,H City,Address 2,Address 2 House Number,Address 2 Street Name,Address 2 City
0,,,,,,,,,,,,,
1,,,,,,,,,,,,,
2,,,,,,,,,,,,,
3,,,,,,,,,,,,,
4,,,,,merchant,MERCHANT,,,,,,,
5,,,,,,,,,,,,,
6,,,,,Court,COURT,,,,,,,
7,,,,,141 Front,141 FRONT,141.0,FRONT,,,,,
8,,,,,,,,,,,,,
9,,,,,,,,,,,,,
10,,,,,2954 Pearl,2954 PEARL,2954.0,PEARL,,,,,
11,,,,,,,,,,,,,
12,,,Myrtle,Jay,Myrtle c Jay,MYRTLE C JAY,,,MYRTLE C JAY,,,,
13,,,,,,,,,,,,,
14,,,,,,,,,,,,,
15,,,,,,,,,,,,,
16,,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,,,,,,,,,,,,,
19,,,,,,,,,,,,,
20,,,,,,,,,,,,,
21,,,,,,,,,,,,,
22,,,,,,,,,,,,,
23,,,,,,,,,,,,,
24,,,,,73 William,73 WILLIAM,73.0,WILLIAM,,,,,
25,,,,,15 Cortlandt,15 CORTLANDT,15.0,CORTLANDT,,,,,
26,,,,,,,,,,,,,
27,,,,,23 Myrtle av,23 MYRTLE AV,23.0,MYRTLE AV,,,,,
28,,,,,,,,,,,,,
29,,,,,,,,,,,,,
30,,,,,,,,,,,,,
31,,,,,,,,,,,,,
32,,,,,,,,,,,,,
33,,,,,,,,,,,,,
34,,,,,,,,,,,,,
35,,,,,,,,,,,,,
36,,,,,,,,,,,,,
37,,,,,130 Broad,130 BROAD,130.0,BROAD,,,,,
38,,,,,,,,,,,,,
39,,,,,Green Jane,GREEN JANE,,,GREEN JANE,,,,
40,,,,,,,,,,,,,
41,,,,,,,,,,,,,
42,,,,,,,,,,,,,
43,,,,,,,,,,,,,
44,,,,,,,,,,,,,
45,,,,,,,,,,,,,
46,,,,,,,,,,,,,
47,,,,,,,,,,,,,
48,,,,,15 Stone,15 STONE,15.0,STONE,,,,,
49,,,,,,,,,,,,,
50,,,,,,,,,,,,,
51,,,,,,,,,,,,,
52,,,,,,,,,,,,,
53,,,,,,,,,,,,,
54,,,,,,,,,,,,,
55,,,,,,,,,,,,,
56,,,,,,,,,,,,,
57,,,,,80 Wall,80 WALL,80.0,WALL,,,,,
58,,,,,,,,,,,,,
59,,,,,,,,,,,,,
60,,,,,,,,,,,,,
61,,,,,,,,,,,,,
62,,,,,,,,,,,,,
63,,,,,203 Broadway,203 BROADWAY,203.0,BROADWAY,,,,,
64,,,,,,,,,,,,,
65,,,,,,,,,,,,,
66,,,,,,,,,,,,,
67,,,,,,,,,,,,,
68,,,,,90 Front,90 FRONT,90.0,FRONT,,,,,
69,,,,,,,,,,,,,
70,,,,,,,,,,,,,
71,,,,,,,,,,,,,
