,n_street1,n_street2,c_street1,c_street2,Full Address,H Address,H House Number,H Street Name,H City,Address 2,Address 2 House Number,Address 2 Street Name,Address 2 City
0,,,,,39 Pearl,39 PEARL,39.0,PEARL,,,,,
1,,,,,170 Clinton Brooklyn,170 CLINTON BROOKLYN,170.0,CLINTON,BROOKLYN,,,,
2,,,,,601 Washington,601 WASHINGTON,601.0,WASHINGTON,,,,,
3,,,,,328 Bowery,328 BOWERY,328.0,BOWERY,,,,,
4,,,,,42 Orange,42 ORANGE,42.0,ORANGE,,,,,
5,,,,,77 Barrow,77 BARROW,77.0,BARROW,,,,,
6,,,,,586 E 4th,586 E 4TH,586.0,E 4TH,,,,,
7,,,,,34 Av C,34 AV C,34.0,AV C,,,,,
8,,,,,34 Av C,34 AV C,34.0,AV C,,,,,
9,,,,,40 Av C,40 AV C,40.0,AV C,,,,,
10,,,,,175 Canal,175 CANAL,175.0,CANAL,,,,,
11,,,,,137 Norfolk,137 NORFOLK,137.0,NORFOLK,,,,,
12,,,,,53 Av D,53 AV D,53.0,AV D,,,,,
13,,,,,5 Ludlow,5 LUDLOW,5.0,LUDLOW,,,,,
14,,,,,1 Av D,1 AV D,1.0,AV D,,,,,
15,,,,,Morrisania,MORRISANIA,,,,,,,
16,,,,,7 Murray,7 MURRAY,7.0,MURRAY,,,,,
17,,,,,192 Fulton,192 FULTON,192.0,FULTON,,,,,
18,,,,,91 Henry Brooklyn,91 HENRY BROOKLYN,91.0,HENRY,BROOKLYN,,,,
19,,,,,181 inventor,181 INVENTOR,181.0,INVENTOR,,,,,
20,,,,,79 Av B,79 AV B,79.0,AV B,,,,,
21,,,,,66 Mangin,66 MANGIN,66.0,MANGIN,,,,,
22,,,,,304 Ninth,304 9TH,304.0,NINTH,,,,,
23,E 18th,Av A,,,E 18th n Av A,E 18TH N AV A,,,E 18TH N AV A,,,,
24,,,,,605 Fourth,605 4TH,605.0,FOURTH,,,,,
25,,,24th,Av 3,24th c Av 3,24TH C AV 3,,,24TH C AV 3,,,,
26,,,,,294 Eleventh,294 11TH,294.0,ELEVENTH,,,,,
27,,,,,60 Av C,60 AV C,60.0,AV C,,,,,
28,,,,,Brooklyn,BROOKLYN,,,,,,,
29,,,,,22 Vesey,22 VESEY,22.0,VESEY,,,,,
30,,,,,105 Av D,105 AV D,105.0,AV D,,,,,
31,,,,,89 E 11th,89 E 11TH,89.0,E 11TH,,,,,
32,Av C,Eleventh,,,Av C n Eleventh,AV C N 11TH,,,AV C N ELEVENTH,,,,
33,,,,,350 Tenth,350 10TH,350.0,TENTH,,,,,
34,W 24th,Ay 10,,,W 24th n Ay 10,W 24TH N AY 10,,,W 24TH N AY 10,,,,
35,,,,,77 Third,77 3RD,77.0,THIRD,,,,,
36,,,,,27 Av A,27 AV A,27.0,AV A,,,,,
37,,,,,400 Tenth,400 10TH,400.0,TENTH,,,,,
38,,,,,131 Av C,131 AV C,131.0,AV C,,,,,
39,,,,,245 E 13th,245 E 13TH,245.0,E 13TH,,,,,
40,,,,,18 Av C,18 AV C,18.0,AV C,,,,,
41,,,,,306 Av 1,306 AV 1,306.0,AV 1,,,,,
42,,,,,89 Pitt,89 PITT,89.0,PITT,,,,,
43,,,,,45 Norfolk,45 NORFOLK,45.0,NORFOLK,,,,,
44,,,,,46 Amos,46 AMOS,46.0,AMOS,,,,,
45,W 26th,Av 7,,,W 26th n Av 7,W 26TH N AV 7,,,W 26TH N AV 7,,,,
46,,,,,107 Av B,107 AV B,107.0,AV B,,,,,
47,,,,,5 Av B,5 AV B,5.0,AV B,,,,,
48,,,,,299 Av A,299 AV A,299.0,AV A,,,,,
49,,,,,48 Av 1,48 AV 1,48.0,AV 1,,,,,
50,,,,,51 Norfolk,51 NORFOLK,51.0,NORFOLK,,,,,
51,,,,,268 EF 13th,268 EF 13TH,268.0,EF 13TH,,,,,
52,,,,,92 Madison,92 MADISON,92.0,MADISON,,,,,
53,W 25th,Av 10,,,W 25th n Av 10,W 25TH N AV 10,,,W 25TH N AV 10,,,,
54,,,,,31 W 15th,31 W 15TH,31.0,W 15TH,,,,,
55,,,,,217 E 13th,217 E 13TH,217.0,E 13TH,,,,,
56,,,,,319 Ninth,319 9TH,319.0,NINTH,,,,,
57,,,,,101 Henry Brooklyn,101 HENRY BROOKLYN,101.0,HENRY,BROOKLYN,,,,
58,,,Ay D,Fourth,Ay D c Fourth,AY D C 4TH,,,AY D C FOURTH,,,,
59,,,,,464 Cherry,464 CHERRY,464.0,CHERRY,,,,,
60,,,,,312 Av 1,312 AV 1,312.0,AV 1,,,,,
61,,,,,7 Av D,7 AV D,7.0,AV D,,,,,
62,,,,,25 Av A,25 AV A,25.0,AV A,,,,,
63,,,,,143 W 28th,143 W 28TH,143.0,W 28TH,,,,,
64,Third,Av A,,,Third n Av A,3RD N AV A,,,THIRD N AV A,,,,
65,,,,,32 Bond,32 BOND,32.0,BOND,,,,,
66,,,,,116,116,116.0,,,,,,
67,,,,,143 Reade,143 READE,143.0,READE,,,,,
68,,,,,4 Beach,4 BEACH,4.0,BEACH,,,,,
69,,,,,529 Hudson,529 HUDSON,529.0,HUDSON,,,,,
70,,,,,173 Wooster,173 WOOSTER,173.0,WOOSTER,,,,,
71,,,,,95 W 13th,95 W 13TH,95.0,W 13TH,,,,,
72,,,,,174 Chambers,174 CHAMBERS,174.0,CHAMBERS,,,,,
73,,,,,34 Liberty,34 LIBERTY,34.0,LIBERTY,,,,,
74,,,Twelfth,Dry Dock,Twelfth c Dry Dock,12TH C DRY DOCK,,,TWELFTH C DRY DOCK,,,,
75,,,,,53 Monroe,53 MONROE,53.0,MONROE,,,,,
76,,,,,72 Lewis,72 LEWIS,72.0,LEWIS,,,,,
77,,,,,141 Norfolk,141 NORFOLK,141.0,NORFOLK,,,,,
78,,,,,166 E 20th,166 E 20TH,166.0,E 20TH,,,,,
79,,,,,201 Av 3,201 AV 3,201.0,AV 3,,,,,
80,,,,,93 Ridge,93 RIDGE,93.0,RIDGE,,,,,
81,,,,,433 Tenth,433 10TH,433.0,TENTH,,,,,
82,,,,,86 Av 2,86 AV 2,86.0,AV 2,,,,,
83,,,,,180 Av C,180 AV C,180.0,AV C,,,,,
84,,,,,128 Charlton,128 CHARLTON,128.0,CHARLTON,,,,,
85,,,,,180 Grand,180 GRAND,180.0,GRAND,,,,,
86,,,,,7 Broad,7 BROAD,7.0,BROAD,,,,,
87,,,,,14 Clarkson,14 CLARKSON,14.0,CLARKSON,,,,,
88,,,,,2 Congress,2 CONGRESS,2.0,CONGRESS,,,,,
89,,,,,104 FE 11th,104 FE 11TH,104.0,FE 11TH,,,,,
90,,,,,,,,,,,,,
91,,,,,165 Pearl,165 PEARL,165.0,PEARL,,,,,
92,Court,Degraw Brooklyn,,,,,,,,,,,
93,,,,,400 Broadway,400 BROADWAY,400.0,BROADWAY,,,,,
94,W 2th,Av 8,,,W 2th n Av 8,W 2TH N AV 8,,,W 2TH N AV 8,,,,
95,,,,,121 Pearl,121 PEARL,121.0,PEARL,,,,,
96,,,,,746 Washington,746 WASHINGTON,746.0,WASHINGTON,,,,,
97,,,,,88 White,88 WHITE,88.0,WHITE,,,,,
98,,,,,305 Third,305 3RD,305.0,THIRD,,,,,
99,W 28th,Av 7,,,W 28th n Av 7,W 28TH N AV 7,,,W 28TH N AV 7,,,,
100,,,,,41 Sheriff,41 SHERIFF,41.0,SHERIFF,,,,,
101,,,,,29 Ferry,29 FERRY,29.0,FERRY,,,,,
102,,,,,193 Ninth,193 9TH,193.0,NINTH,,,,,
103,,,,,Pearl,PEARL,,,,,,,
104,,,,,160 Church,160 CHURCH,160.0,CHURCH,,,,,
105,,,,,63 Factory,63 FACTORY,63.0,FACTORY,,,,,
106,,,,,43 Elm,43 ELM,43.0,ELM,,,,,
107,,,,,415 Broome,415 BROOME,415.0,BROOME,,,,,
108,,,,,23 Whitehall,23 WHITEHALL,23.0,WHITEHALL,,,,,
109,,,,,104 Broad,104 BROAD,104.0,BROAD,,,,,
110,,,,,20 Hamersley place,20 HAMERSLEY PLACE,20.0,HAMERSLEY PLACE,,,,,
111,,,,,7 Chrystie,7 CHRYSTIE,7.0,CHRYSTIE,,,,,
112,,,,,650 Fourth,650 4TH,650.0,FOURTH,,,,,
113,,,,,650 Fourth,650 4TH,650.0,FOURTH,,,,,
114,,,,,192 Fulton,192 FULTON,192.0,FULTON,,,,,
115,,,,,609 Broadway,609 BROADWAY,609.0,BROADWAY,,,,,
116,,,,,118 William,118 WILLIAM,118.0,WILLIAM,,,,,
117,,,,,76 Mott,76 MOTT,76.0,MOTT,,,,,
118,,,,,226 Wooster,226 WOOSTER,226.0,WOOSTER,,,,,
119,,,,,Brookla,BROOKLA,,,,,,,
120,,,,,465 Fourth,465 4TH,465.0,FOURTH,,,,,
121,,,,,623 Washington,623 WASHINGTON,623.0,WASHINGTON,,,,,
122,,,,,25 Nassau,25 NASSAU,25.0,NASSAU,,,,,
123,,,,,5 Charlton,5 CHARLTON,5.0,CHARLTON,,,,,
124,,,,,2 College pl,2 COLLEGE PL,2.0,COLLEGE PL,,,,,
125,,,Clinton,Delancy,Clinton c Delancy,CLINTON C DELANCY,,,CLINTON C DELANCY,,,,
126,,,,,184 Ludlow,184 LUDLOW,184.0,LUDLOW,,,,,
127,,,,,101 Av C,101 AV C,101.0,AV C,,,,,
128,,,,,102 Av 2,102 AV 2,102.0,AV 2,,,,,
129,,,,,200 Av 1,200 AV 1,200.0,AV 1,,,,,
130,,,,,30 Bleecker,30 BLEECKER,30.0,BLEECKER,,,,,
131,,,,,660 Fourth,660 4TH,660.0,FOURTH,,,,,
132,,,,,110 Av 7,110 AV 7,110.0,AV 7,,,,,
133,,,,,686 Fourth,686 4TH,686.0,FOURTH,,,,,
134,,,,,291 Seventh,291 7TH,291.0,SEVENTH,,,,,
135,,,,,105 E lth,105 E LTH,105.0,E LTH,,,,,
136,,,,,156 Av 6,156 AV 6,156.0,AV 6,,,,,
137,,,,,27 Sheriff,27 SHERIFF,27.0,SHERIFF,,,,,
138,,,,,67 James,67 JAMES,67.0,JAMES,,,,,
139,,,,,Williamsburg,WILLIAMSBURG,,,,,,,
140,E 16th,Av 1,,,E 16th n Av 1,E 16TH N AV 1,,,E 16TH N AV 1,,,,
