,hn_1,best_match
0,39.0,PEARL
1,170.0,CLINTON
2,601.0,WASHINGTON
3,328.0,BOWERY
4,42.0,ORANGE
5,77.0,BARROW
6,586.0,E 4
7,34.0,AVE C
8,34.0,AVE C
9,40.0,AVE C
10,175.0,CANAL
11,137.0,NORFOLK
12,53.0,AVE D
13,5.0,LUDLOW
14,1.0,AVE D
15,,MORRISANIA
16,7.0,MURRAY
17,192.0,FULTON
18,91.0,HENRY
19,181.0,INVENTOR
20,79.0,AVE B
21,66.0,MANGIN
22,304.0,9
23,,E 18 & AVE A
24,605.0,4
25,,24 & AVE 3
26,294.0,11
27,60.0,AVE C
28,,BROOKLYN
29,22.0,VESEY
30,105.0,AVE D
31,89.0,E 11
32,,AVE C & 11
33,350.0,10
34,,W 24 & ALY 10
35,77.0,3
36,27.0,AVE A
37,400.0,10
38,131.0,AVE C
39,245.0,E 13
40,18.0,AVE C
41,306.0,AVE 1
42,89.0,PITT
43,45.0,NORFOLK
44,46.0,AMOS
45,,W 26 & AVE 7
46,107.0,AVE B
47,5.0,AVE B
48,299.0,AVE A
49,48.0,AVE 1
50,51.0,NORFOLK
51,268.0,EF 13
52,92.0,MADISON
53,,W 25 & AVE 10
54,31.0,W 15
55,217.0,E 13
56,319.0,9
57,101.0,HENRY
58,,ALY D & 4
59,464.0,CHERRY
60,312.0,AVE 1
61,7.0,AVE D
62,25.0,AVE A
63,143.0,W 28
64,,3 & AVE A
65,32.0,BOND
66,116.0,
67,143.0,READE
68,4.0,BEACH
69,529.0,HUDSON
70,173.0,WOOSTER
71,95.0,W 13
72,174.0,CHAMBERS
73,34.0,LIBERTY
74,,12 & DRY DOCK
75,53.0,MONROE
76,72.0,LEWIS
77,141.0,NORFOLK
78,166.0,E 20
79,201.0,AVE 3
80,93.0,RIDGE
81,433.0,10
82,86.0,AVE 2
83,180.0,AVE C
84,128.0,CHARLTON
85,180.0,GRAND
86,7.0,BROAD
87,14.0,CLARKSON
88,2.0,CONGRESS
89,104.0,FE 11
90,,
91,165.0,PEARL
92,,CT & DEGRAW BROOKLYN
93,400.0,BROADWAY
94,,W 2 & AVE 8
95,121.0,PEARL
96,746.0,WASHINGTON
97,88.0,WHITE
98,305.0,3
99,,W 28 & AVE 7
100,41.0,SHERIFF
101,29.0,FERRY
102,193.0,9
103,,PEARL
104,160.0,CHURCH
105,63.0,FACTORY
106,43.0,ELM
107,415.0,BROOME
108,23.0,WHITEHALL
109,104.0,BROAD
110,20.0,HAMERSLEY PL
111,7.0,CHRYSTIE
112,650.0,4
113,650.0,4
114,192.0,FULTON
115,609.0,BROADWAY
116,118.0,WILLIAM
117,76.0,MOTT
118,226.0,WOOSTER
119,,BROOKLA
120,465.0,4
121,623.0,WASHINGTON
122,25.0,NASSAU
123,5.0,CHARLTON
124,2.0,COLLEGE PL
125,,CLINTON & DELANCEY
126,184.0,LUDLOW
127,101.0,AVE C
128,102.0,AVE 2
129,200.0,AVE 1
130,30.0,BLEECKER
131,660.0,4
132,110.0,AVE 7
133,686.0,4
134,291.0,7
135,105.0,E LTH
136,156.0,AVE 6
137,27.0,SHERIFF
138,67.0,JAMES
139,,WILLIAMSBURG
140,,E 16 & AVE 1
141,460.0,WASHINGTON
142,648.0,4
143,6.0,GOERCK
144,5.0,CITY HALL
145,,
146,727.0,WASHINGTON
147,154.0,SULLIVAN
148,185.0,LAURENS
149,,W 29 & AVE 11
150,669.0,4
151,658.0,4
152,151.0,BROADWAY
153,9.0,AND 10
154,5.0,WEEHAWKEN
155,16.0,CHRISTOPHER
156,319.0,HUDSON
157,34.0,AVE C
158,22.0,MARKET
159,333.0,BROADWAY
160,616.0,BROADWAY
161,100.0,SULLIVAN
162,281.0,E 13
163,398.0,WEST
