,hn_1,best_match1
1,39,PEARL
2,170,CLINTON
3,601,WASHINGTON
4,328,BOWERY
5,42,ORANGE
6,77,BARROW
7,586,E 4
8,34,AVE C
9,34,AVE C
10,40,AVE C
11,175,CANAL
12,137,NORFOLK
13,53,AVE D
14,5,LUDLOW
15,1,AVE D
16,NA,MORRISANIA
17,7,MURRAY
18,192,FULTON
19,91,HENRY
20,181,INVENTOR
21,79,AVE B
22,66,MANGIN
23,304,9
24,NA,E 18 AND AVE A
25,605,4
26,NA,24 AND AVE 3
27,294,11
28,60,AVE C
29,NA,BROOKLYN
30,22,VESEY
31,105,AVE D
32,89,E 11
33,NA,AVE C AND 11
34,350,10
35,NA,W 24 AND ALY 10
36,77,3
37,27,AVE A
38,400,10
39,131,AVE C
40,245,E 13
41,18,AVE C
42,306,AVE 1
43,89,PITT
44,45,NORFOLK
45,46,AMOS
46,NA,W 26 AND AVE 7
47,107,AVE B
48,5,AVE B
49,299,AVE A
50,48,AVE 1
51,51,NORFOLK
52,268,EF 13
53,92,MADISON
54,NA,W 25 AND AVE 10
55,31,W 15
56,217,E 13
57,319,9
58,101,HENRY
59,NA,ALY D AND 4
60,464,CHERRY
61,312,AVE 1
62,7,AVE D
63,25,AVE A
64,143,W 28
65,NA,3 AND AVE A
66,32,BOND
67,116,
68,143,READE
69,4,BEACH
70,529,HUDSON
71,173,WOOSTER
72,95,W 13
73,174,CHAMBERS
74,34,LIBERTY
75,NA,12 AND DRY DOCK
76,53,MONROE
77,72,LEWIS
78,141,NORFOLK
79,166,E 20
80,201,AVE 3
81,93,RIDGE
82,433,10
83,86,AVE 2
84,180,AVE C
85,128,CHARLTON
86,180,GRAND
87,7,BROAD
88,14,CLARKSON
89,2,CONGRESS
90,104,FE 11
91,NA,CINCINNATI O
92,165,PEARL
93,NA,CT AND DEGRAW BROOKLYN
94,400,BROADWAY
95,NA,W 2 AND AVE 8
96,121,PEARL
97,746,WASHINGTON
98,88,WHITE
99,305,3
100,NA,W 28 AND AVE 7
101,41,SHERIFF
102,29,FERRY
103,193,9
104,NA,PEARL
105,160,CHURCH
106,63,FACTORY
107,43,ELM
108,415,BROOME
109,23,WHITEHALL
110,104,BROAD
111,20,HAMERSLEY PL
112,7,CHRYSTIE
113,650,4
114,650,4
115,192,FULTON
116,609,BROADWAY
117,118,WILLIAM
118,76,MOTT
119,226,WOOSTER
120,NA,BROOKLA
121,465,4
122,623,WASHINGTON
123,25,NASSAU
124,5,CHARLTON
125,2,COLLEGE PL
126,NA,CLINTON AND DELANCEY
127,184,LUDLOW
128,101,AVE C
129,102,AVE 2
130,200,AVE 1
131,30,BLEECKER
132,660,4
133,110,AVE 7
134,686,4
135,291,7
136,105,E LTH
137,156,AVE 6
138,27,SHERIFF
139,67,JAMES
140,NA,WILLIAMSBURG
141,NA,E 16 AND AVE 1
142,460,WASHINGTON
143,648,4
144,6,GOERCK
145,5,CITY HALL
146,NA,NEW J
147,727,WASHINGTON
148,154,SULLIVAN
149,185,LAURENS
150,NA,W 29 AND AVE 11
151,669,4
152,658,4
153,151,BROADWAY
154,9,AND 10
155,5,WEEHAWKEN
156,16,CHRISTOPHER
157,319,HUDSON
158,34,AVE C
159,22,MARKET
160,333,BROADWAY
161,616,BROADWAY
162,100,SULLIVAN
163,281,E 13
164,398,WEST
165,34,ELIZABETH
166,119,LEWIS
167,30,5
168,457,WEST 95 BANK
169,33,FRONT
170,129,CHARLES
171,159,CHATHAM
172,76,MULBERRY
173,391,BROOME
174,45,BROADWAY 16 STATE
175,54,AVE C
176,588,4
177,2,BOWERY
178,NA,9 AND AVE C
179,208,ELM
180,279,DELANCEY
181,35,CLINTON PL
182,721,BROADWAY
183,25,AVE B
184,49,AVE B
185,529,GREENWICH
186,215,W 18
187,62,6
188,151,W BROADWAY
189,367,6
190,536,PEARL
191,134,BROOME
192,241,MOTT
193,8,UNIVERSITY PL
194,43,NEW
195,149,BOWERY
196,NA,E 22D AND AVE 3
197,92,DELANCEY
198,346,6
199,6,COLUMBIA PL
200,153,GOERCK
201,184,SPRING
202,22,MULBERRY
203,27,COLUMBIA
204,214,E 11
205,NA,12 AND DRY DOCK
206,75,VARICK
207,203,MERCER
208,NA,HARLEM
209,34,AVE B
210,284,E 13
211,NA,STARR
212,46,HUDSON
213,18,DOYER
214,19,PELL
215,5,STATE
216,192,AVE 1
217,127,RIDGE
218,115,DELANCEY
219,0,BEEKMAN
220,564,GRAND
221,200,FULTON
222,113,CLINTON
223,115,PEARL
224,254,WASHINGTON JERSEY CITY
225,195,MONROE
226,217,W 18
227,161,MADISON
228,65,S 5 WILLIAMSBURG
229,687,HUDSON
230,675,4
231,21,AVE C
232,NA,B KLYN
233,65,MONROE
234,263,3
