"","hn_1","best_match","street_type","base_function","spell_ave_true","suffix_true","both_true"
"1",168,"HUDSON AVE","AVE","168 HUDSON AVE","ONE HUNDRED SIXTY-EIGHT HUDSON AVE","168 HUDSON AVE","ONE HUNDRED SIXTY-EIGHT HUDSON AVE"
"2",NA,"MASON DEAN & VANDERBILT AVE","AVE","MASON DEAN & VANDERBILT AVE","MASON DEAN & VANDERBILT AVE","MASON DEAN & VANDERBILT AVE","MASON DEAN & VANDERBILT AVE"
"3",82,"POPLAR","ST","82 POPLAR ST","82 POPLAR ST","82 POPLAR ST","82 POPLAR ST"
"4",NA,"EDUCATION OF","ST","EDUCATION OF ST","EDUCATION OF ST","EDUCATION OF ST","EDUCATION OF ST"
"5",NA,"UNION & CT","CT","UNION & CT","UNION & CT","UNION & CT","UNION & CT"
"6",NA,"PACIFIC & BOERUM","ST","PACIFIC & BOERUM ST","PACIFIC & BOERUM ST","PACIFIC & BOERUM ST","PACIFIC & BOERUM ST"
"7",25,"FRONT . [CT","ST","25 FRONT . [CT ST","25 FRONT . [CT ST","25 FRONT . [CT ST","25 FRONT . [CT ST"
"8",141,"N FRONT Â¥ H JOYALEMONN","ST","141 N FRONT Â¥ H JOYALEMONN ST","141 N FRONT Â¥ H JOYALEMONN ST","141 N FRONT Â¥ H JOYALEMONN ST","141 N FRONT Â¥ H JOYALEMONN ST"
"9",NA,"KENT ALY NORTH","ALY","KENT ALY NORTH ALY","KENT ALY NORTH ALY","KENT ALY NORTH ALY","KENT ALY NORTH ALY"
"10",NA,"LABORER BOND & STATE / [HOYT","ST","LABORER BOND & STATE / [HOYT ST","LABORER BOND & STATE / [HOYT ST","LABORER BOND & STATE / [HOYT ST","LABORER BOND & STATE / [HOYT ST"
"11",2954,"2954 N PEARL YH 262 ATLANTIC & nan","ST","2954 2954 N PEARL YH 262 ATLANTIC & NAN ST","2954 2954 N PEARL YH 262 ATLANTIC & NAN ST","2954 2 954TH N PEARL YH 262 ATLANTIC & NAN ST","2954 2 954TH N PEARL YH 262 ATLANTIC & NAN ST"
"12",74,"CONCORD","ST","74 CONCORD ST","74 CONCORD ST","74 CONCORD ST","74 CONCORD ST"
"13",NA,"MYRTLE C JAY H 115 JOHNSON","ST","MYRTLE C JAY H 115 JOHNSON ST","MYRTLE C JAY H 115 JOHNSON ST","MYRTLE C JAY H 115TH JOHNSON ST","MYRTLE C JAY H 115TH JOHNSON ST"
"14",261,"MARSHALL","ST","261 MARSHALL ST","261 MARSHALL ST","261 MARSHALL ST","261 MARSHALL ST"
"15",301,"GOLD","ST","301 GOLD ST","301 GOLD ST","301 GOLD ST","301 GOLD ST"
"16",23,"PRINCE","ST","23 PRINCE ST","23 PRINCE ST","23 PRINCE ST","23 PRINCE ST"
"17",288,"HUDSON AVE","AVE","288 HUDSON AVE","TWO HUNDRED EIGHTY-EIGHT HUDSON AVE","288 HUDSON AVE","TWO HUNDRED EIGHTY-EIGHT HUDSON AVE"
"18",NA,"SHOEMAKER NAVY Â¢ SANDS 4","ST","SHOEMAKER NAVY Â¢ SANDS 4 ST","SHOEMAKER NAVY Â¢ SANDS 4 ST","SHOEMAKER NAVY Â¢ SANDS 4TH ST","SHOEMAKER NAVY Â¢ SANDS 4TH ST"
"19",116,"CONCORD","ST","116 CONCORD ST","116 CONCORD ST","116 CONCORD ST","116 CONCORD ST"
"20",NA,"YÂ¥ H 180 HENRY .","ST","YÂ¥ H 180 HENRY . ST","YÂ¥ H 180 HENRY . ST","YÂ¥ H 180TH HENRY . ST","YÂ¥ H 180TH HENRY . ST"
"21",5,"YORK I","ST","5 YORK I ST","5 YORK I ST","5 YORK I ST","5 YORK I ST"
"22",3,"KELSEYS ALY","ALY","3 KELSEYS ALY","3 KELSEYS ALY","3 KELSEYS ALY","3 KELSEYS ALY"
"23",NA,"EDUCATION OF BOYS 75 COLUMBIA","ST","EDUCATION OF BOYS 75 COLUMBIA ST","EDUCATION OF BOYS 75 COLUMBIA ST","EDUCATION OF BOYS 75TH COLUMBIA ST","EDUCATION OF BOYS 75TH COLUMBIA ST"
"24",NA,"","ST",NA,NA,NA,NA
"25",73,"N WILLIAM YH 43 CRANBERRY","ST","73 N WILLIAM YH 43 CRANBERRY ST","73 N WILLIAM YH 43 CRANBERRY ST","73 N WILLIAM YH 43RD CRANBERRY ST","73 N WILLIAM YH 43RD CRANBERRY ST"
"26",15,"N CORTLANDT YH 59 HOYT","ST","15 N CORTLANDT YH 59 HOYT ST","15 N CORTLANDT YH 59 HOYT ST","15 N CORTLANDT YH 59TH HOYT ST","15 N CORTLANDT YH 59TH HOYT ST"
"27",72,"COLUMBIA","ST","72 COLUMBIA ST","72 COLUMBIA ST","72 COLUMBIA ST","72 COLUMBIA ST"
"28",23,"MYRTLE AVE Â¢ PEARL H34","AVE","23 MYRTLE AVE Â¢ PEARL H34 AVE","TWENTY-THREE MYRTLE AVE Â¢ PEARL H34 AVE","23 MYRTLE AVE Â¢ PEARL H34TH AVE","TWENTY-THREE MYRTLE AVE Â¢ PEARL H34TH AVE"
"29",NA,"N Y H 266 DAY","ST","N Y H 266 DAY ST","N Y H 266 DAY ST","N Y H 266TH DAY ST","N Y H 266TH DAY ST"
"30",45,"HIGH","ST","45 HIGH ST","45 HIGH ST","45 HIGH ST","45 HIGH ST"
"31",124,"NASSAU","ST","124 NASSAU ST","124 NASSAU ST","124 NASSAU ST","124 NASSAU ST"
"32",22,"22 DEGRAW & SMITH","ST","22 22 DEGRAW & SMITH ST","22 22 DEGRAW & SMITH ST","22 22ND DEGRAW & SMITH ST","22 22ND DEGRAW & SMITH ST"
"33",NA,"3D AVY & 24 GOWANUS","ST","3D AVY & 24 GOWANUS ST","3D AVY & 24 GOWANUS ST","3RDD AVY & 24 GOWANUS ST","3RDD AVY & 24 GOWANUS ST"
"34",152,"HUDSON AVE","AVE","152 HUDSON AVE","ONE HUNDRED FIFTY-TWO HUDSON AVE","152 HUDSON AVE","ONE HUNDRED FIFTY-TWO HUDSON AVE"
"35",NA,"DEAN & SMITH","ST","DEAN & SMITH ST","DEAN & SMITH ST","DEAN & SMITH ST","DEAN & SMITH ST"
