"","hn_1","best_match","street_type","base_function","spell_ave_true","suffix_true","both_true"
"1",NA,"ALBRO BENJAMIN SEN H 328 BOWERY","ST","ALBRO BENJAMIN SEN H 328 BOWERY ST","ALBRO BENJAMIN SEN H 328 BOWERY ST","ALBRO BENJAMIN SEN H 328TH BOWERY ST","ALBRO BENJAMIN SEN H 328TH BOWERY ST"
"2",NA,"E 13 & AVE. A","AVE","E 13 & AVE. A AVE","E 13 & AVE. A AVE","E 13TH & AVE. A AVE","E 13TH & AVE. A AVE"
"3",NA,"3","ST","3 ST","3 ST","3RD ST","3RD ST"
"4",NA,"AVE. C & 11","AVE","AVE. C & 11 AVE","AVE. C & 11 AVE","AVE. C & 11TH AVE","AVE. C & 11TH AVE"
"5",NA,"10","ST","10 ST","10 ST","10TH ST","10TH ST"
"6",NA,"7","ST","7 ST","7 ST","7TH ST","7TH ST"
"7",NA,"10","ST","10 ST","10 ST","10TH ST","10TH ST"
"8",NA,"AVE. D & 4","AVE","AVE. D & 4 AVE","AVE. D & 4 AVE","AVE. D & 4TH AVE","AVE. D & 4TH AVE"
"9",NA,"3 & AVE. A","AVE","3 & AVE. A AVE","3 & AVE. A AVE","3RD & AVE. A AVE","3RD & AVE. A AVE"
"10",NA,"TWELH & DRY DOCK","DR","TWELH & DRY DOCK DR","TWELH & DRY DOCK DR","TWELH & DRY DOCK DR","TWELH & DRY DOCK DR"
"11",NA,"7","ST","7 ST","7 ST","7TH ST","7TH ST"
"12",NA,"PEARL","ST","PEARL ST","PEARL ST","PEARL ST","PEARL ST"
"13",650,"4","ST","650 4 ST","650 4 ST","650 4TH ST","650 4TH ST"
"14",NA,"1","ST","1 ST","1 ST","1ST ST","1ST ST"
"15",NA,"11","ST","11 ST","11 ST","11TH ST","11TH ST"
"16",9,"10","ST","9 10 ST","9 10 ST","9 10TH ST","9 10TH ST"
"17",NA,"9 & AVE. C","AVE","9 & AVE. C AVE","9 & AVE. C AVE","9TH & AVE. C AVE","9TH & AVE. C AVE"
"18",NA,"3","ST","3 ST","3 ST","3RD ST","3RD ST"
"19",NA,"TWELH & DRY DOCK","DR","TWELH & DRY DOCK DR","TWELH & DRY DOCK DR","TWELH & DRY DOCK DR","TWELH & DRY DOCK DR"
"20",NA,"4","ST","4 ST","4 ST","4TH ST","4TH ST"
"21",NA,"ABB","ST","ABB ST","ABB ST","ABB ST","ABB ST"
"22",NA,"H. BROOKLYN","ST","H. BROOKLYN ST","H. BROOKLYN ST","H. BROOKLYN ST","H. BROOKLYN ST"
"23",295,"PEARL","ST","295 PEARL ST","295 PEARL ST","295 PEARL ST","295 PEARL ST"
"24",54,"LAIGHT","ST","54 LAIGHT ST","54 LAIGHT ST","54 LAIGHT ST","54 LAIGHT ST"
"25",260,"GREENE","ST","260 GREENE ST","260 GREENE ST","260 GREENE ST","260 GREENE ST"
"26",20,"158W 20","ST","20 158W 20 ST","20 158W 20 ST","20 158THW 20 ST","20 158THW 20 ST"
"27",NA,"3","ST","3 ST","3 ST","3RD ST","3RD ST"
"28",NA,"WILL BE","ST","WILL BE ST","WILL BE ST","WILL BE ST","WILL BE ST"
"29",187,"FORSYTH","ST","187 FORSYTH ST","187 FORSYTH ST","187 FORSYTH ST","187 FORSYTH ST"
"30",NA,"8","ST","8 ST","8 ST","8TH ST","8TH ST"
"31",377,"GRAND","ST","377 GRAND ST","377 GRAND ST","377 GRAND ST","377 GRAND ST"
"32",140,"B.WAY , RATHBUNS","ST","140 B.WAY , RATHBUNS ST","140 B.WAY , RATHBUNS ST","140 B.WAY , RATHBUNS ST","140 B.WAY , RATHBUNS ST"
"33",NA,"6","ST","6 ST","6 ST","6TH ST","6TH ST"
"34",NA,"ACK","ST","ACK ST","ACK ST","ACK ST","ACK ST"
"35",308,"RIVINGTON","ST","308 RIVINGTON ST","308 RIVINGTON ST","308 RIVINGTON ST","308 RIVINGTON ST"
"36",NA,"7","ST","7 ST","7 ST","7TH ST","7TH ST"
"37",NA,"HEALTHWARDEN 15WRD,261 ELIZBTH","ST","HEALTHWARDEN 15WRD,261 ELIZBTH ST","HEALTHWARDEN 15WRD,261 ELIZBTH ST","HEALTHWARDEN 15THWRD,261 ELIZBTH ST","HEALTHWARDEN 15THWRD,261 ELIZBTH ST"
"38",NA,"8","ST","8 ST","8 ST","8TH ST","8TH ST"
"39",155,"DIVISION","ST","155 DIVISION ST","155 DIVISION ST","155 DIVISION ST","155 DIVISION ST"
"40",260,"DIVISION","ST","260 DIVISION ST","260 DIVISION ST","260 DIVISION ST","260 DIVISION ST"
"41",NA,"ADA","ST","ADA ST","ADA ST","ADA ST","ADA ST"
"42",NA,"10","ST","10 ST","10 ST","10TH ST","10TH ST"
"43",NA,"9","ST","9 ST","9 ST","9TH ST","9TH ST"
"44",30,"7","ST","30 7 ST","30 7 ST","30 7TH ST","30 7TH ST"
"45",NA,"OF LUMBER,18 MINETTA LA.","ST","OF LUMBER,18 MINETTA LA. ST","OF LUMBER,18 MINETTA LA. ST","OF LUMBER,18TH MINETTA LA. ST","OF LUMBER,18TH MINETTA LA. ST"
"46",103,"NASSAU","ST","103 NASSAU ST","103 NASSAU ST","103 NASSAU ST","103 NASSAU ST"
"47",260,"DIVISION","ST","260 DIVISION ST","260 DIVISION ST","260 DIVISION ST","260 DIVISION ST"
"48",47,"FRANKFORT","ST","47 FRANKFORT ST","47 FRANKFORT ST","47 FRANKFORT ST","47 FRANKFORT ST"
"49",NA,"10","ST","10 ST","10 ST","10TH ST","10TH ST"
"50",7,"TRINITY PL","PL","7 TRINITY PL","7 TRINITY PL","7 TRINITY PL","7 TRINITY PL"
"51",NA,"ADA","ST","ADA ST","ADA ST","ADA ST","ADA ST"
"52",NA,"E 25 & LEXINGTON AVE.","AVE","E 25 & LEXINGTON AVE. AVE","E 25 & LEXINGTON AVE. AVE","E 25TH & LEXINGTON AVE. AVE","E 25TH & LEXINGTON AVE. AVE"
"53",700,"GREENWICH","ST","700 GREENWICH ST","700 GREENWICH ST","700 GREENWICH ST","700 GREENWICH ST"
"54",NA,"8","ST","8 ST","8 ST","8TH ST","8TH ST"
"55",NA,"AD OF .","ST","AD OF . ST","AD OF . ST","AD OF . ST","AD OF . ST"
"56",NA,"ADR","ST","ADR ST","ADR ST","ADR ST","ADR ST"
"57",NA,"AIK","ST","AIK ST","AIK ST","AIK ST","AIK ST"
"58",32,"ANN","ST","32 ANN ST","32 ANN ST","32 ANN ST","32 ANN ST"
"59",NA,"6","ST","6 ST","6 ST","6TH ST","6TH ST"
"60",171,"FRONT , EARLES","ST","171 FRONT , EARLES ST","171 FRONT , EARLES ST","171 FRONT , EARLES ST","171 FRONT , EARLES ST"
"61",NA,"AIREY W ESTHER OF GEORGE,TH AMITY PL.","PL","AIREY W ESTHER OF GEORGE,TH AMITY PL. PL","AIREY W ESTHER OF GEORGE,TH AMITY PL. PL","AIREY W ESTHER OF GEORGE,TH AMITY PL. PL","AIREY W ESTHER OF GEORGE,TH AMITY PL. PL"
"62",173,"STH","ST","173 STH ST","173 STH ST","173 STH ST","173 STH ST"
"63",124,"CANNON","ST","124 CANNON ST","124 CANNON ST","124 CANNON ST","124 CANNON ST"
"64",369,"PEARL","ST","369 PEARL ST","369 PEARL ST","369 PEARL ST","369 PEARL ST"
"65",369,"PEARL","ST","369 PEARL ST","369 PEARL ST","369 PEARL ST","369 PEARL ST"
"66",NA,"ALE","ST","ALE ST","ALE ST","ALE ST","ALE ST"
"67",78,"CHAMBERS","ST","78 CHAMBERS ST","78 CHAMBERS ST","78 CHAMBERS ST","78 CHAMBERS ST"
"68",112,"WEST , NORTHRN","ST","112 WEST , NORTHRN ST","112 WEST , NORTHRN ST","112 WEST , NORTHRN ST","112 WEST , NORTHRN ST"
"69",NA,"9","ST","9 ST","9 ST","9TH ST","9TH ST"
"70",NA,"3","ST","3 ST","3 ST","3RD ST","3RD ST"
