"","hn_1","best_match","street_type","base_function","spell_ave_true","suffix_true","both_true"
"1",NA,"H. CINCINNATI  , O","ST","H. CINCINNATI  , O ST","H. CINCINNATI  , O ST","H. CINCINNATI  , O ST","H. CINCINNATI  , O ST"
"2",25,"AVE H","AVE","25 AVE H AVE","TWENTY-FIVE AVE H AVE","25 AVE H AVE","TWENTY-FIVE AVE H AVE"
"3",NA,"HARLEM","ST","HARLEM ST","HARLEM ST","HARLEM ST","HARLEM ST"
"4",NA,"Ã¢ÂÂCONTINUED.","ST","Ã¢ÂÂCONTINUED. ST","Ã¢ÂÂCONTINUED. ST","Ã¢ÂÂCONTINUED. ST","Ã¢ÂÂCONTINUED. ST"
"5",NA,"H. OB BEEKMAN","ST","H. OB BEEKMAN ST","H. OB BEEKMAN ST","H. OB BEEKMAN ST","H. OB BEEKMAN ST"
"6",NA,"H BKLYN","ST","H BKLYN ST","H BKLYN ST","H BKLYN ST","H BKLYN ST"
"7",NA,"ASTOR","ST","ASTOR ST","ASTOR ST","ASTOR ST","ASTOR ST"
"8",NA,"H. TAYLORS","ST","H. TAYLORS ST","H. TAYLORS ST","H. TAYLORS ST","H. TAYLORS ST"
"9",NA,", L. I.","ST",", L. I. ST",", L. I. ST",", L. I. ST",", L. I. ST"
"10",NA,"W 40 & B.WAY","ST","W 40 & B.WAY ST","W 40 & B.WAY ST","W 40TH & B.WAY ST","W 40TH & B.WAY ST"
"11",NA,"117","ST","117 ST","117 ST","117TH ST","117TH ST"
"12",NA,"CITY","ST","CITY ST","CITY ST","CITY ST","CITY ST"
"13",28,"136","ST","28 136 ST","28 136 ST","28 136TH ST","28 136TH ST"
"14",185,"CLA","ST","185 CLA ST","185 CLA ST","185 CLA ST","185 CLA ST"
"15",NA,"105","ST","105 ST","105 ST","105TH ST","105TH ST"
"16",NA,"HOYT & ATLANTIC , BROOKLYN","ST","HOYT & ATLANTIC , BROOKLYN ST","HOYT & ATLANTIC , BROOKLYN ST","HOYT & ATLANTIC , BROOKLYN ST","HOYT & ATLANTIC , BROOKLYN ST"
"17",22,"AVE H","AVE","22 AVE H AVE","TWENTY-TWO AVE H AVE","22 AVE H AVE","TWENTY-TWO AVE H AVE"
"18",13,"6","ST","13 6 ST","13 6 ST","13 6TH ST","13 6TH ST"
"19",NA,"W R 35 & BROADWAY","AVE","W R 35 & BROADWAY AVE","W R 35 & BROADWAY AVE","W R 35TH & BROADWAY AVE","W R 35TH & BROADWAY AVE"
"20",40,"AVE H","AVE","40 AVE H AVE","FORTY AVE H AVE","40 AVE H AVE","FORTY AVE H AVE"
"21",NA,"WMSBURG","ST","WMSBURG ST","WMSBURG ST","WMSBURG ST","WMSBURG ST"
"22",40,"AVE H","AVE","40 AVE H AVE","FORTY AVE H AVE","40 AVE H AVE","FORTY AVE H AVE"
"23",29,"AVE H","AVE","29 AVE H AVE","TWENTY-NINE AVE H AVE","29 AVE H AVE","TWENTY-NINE AVE H AVE"
"24",NA,"DUNNINGS","ST","DUNNINGS ST","DUNNINGS ST","DUNNINGS ST","DUNNINGS ST"
"25",30,"AVE H","AVE","30 AVE H AVE","THIRTY AVE H AVE","30 AVE H AVE","THIRTY AVE H AVE"
"26",28,"AVE H","AVE","28 AVE H AVE","TWENTY-EIGHT AVE H AVE","28 AVE H AVE","TWENTY-EIGHT AVE H AVE"
"27",30,"AVE H","AVE","30 AVE H AVE","THIRTY AVE H AVE","30 AVE H AVE","THIRTY AVE H AVE"
"28",24,"329","ST","24 329 ST","24 329 ST","24 329TH ST","24 329TH ST"
"29",NA,"5, H IV H 38 & AVE H 5","AVE","5, H IV H 38 & AVE H 5 AVE","5, H IV H 38 & AVE H 5 AVE","5TH, H IV H 38 & AVE H 5 AVE","5TH, H IV H 38 & AVE H 5 AVE"
"30",NA,"H.","ST","H. ST","H. ST","H. ST","H. ST"
"31",167,"BOWRY","ST","167 BOWRY ST","167 BOWRY ST","167 BOWRY ST","167 BOWRY ST"
"32",NA,"TWN","ST","TWN ST","TWN ST","TWN ST","TWN ST"
"33",NA,"HURLGATE","ST","HURLGATE ST","HURLGATE ST","HURLGATE ST","HURLGATE ST"
"34",26,"N.LEX.AVE","AVE","26 N.LEX.AVE","TWENTY-SIX N.LEX.AVE","26 N.LEX.AVE","TWENTY-SIX N.LEX.AVE"
